id,source,t_full,compr_mean,compr_text,compr_audio,compr_vision,suff_absmean,suff_text,suff_audio,suff_vision,sparsity_mean,del_auc_mean,ins_auc_mean
16,fused_equal,-2.4917,-0.0232,-0.0731,-0.001,0.0045,0.6374,1.9025,-0.0003,0.0095,0.6178,-2.4654,-2.0381
17,att,1.553,-0.0121,-0.0374,0.0008,0.0005,0.4283,-1.2665,0.0085,-0.0098,0.3959,1.5573,1.2993
17,ig,1.553,0.0122,0.0404,-0.0013,-0.0026,0.304,-0.8991,0.0077,-0.0053,0.4086,1.5335,1.3965
17,occ,1.553,0.0186,0.0588,-0.0015,-0.0013,0.3183,-0.9443,0.0067,0.004,0.44,1.5425,1.3715
17,fused,1.553,0.0281,0.087,-0.0015,-0.0013,0.338,-1.0034,0.0067,0.004,0.4363,1.5468,1.3619
17,fused_equal,1.553,0.0086,0.0272,-0.0009,-0.0004,0.3514,-1.0375,0.0076,-0.0091,0.3731,1.5464,1.3396
18,att,-0.2661,-0.012,-0.035,-0.0001,-0.0009,0.1319,0.3538,-0.0106,0.0314,0.2029,-0.2736,-0.1897
18,ig,-0.2661,0.0008,0.0023,-0.0003,0.0004,0.1394,0.3846,-0.007,0.0267,0.2475,-0.2755,-0.1637
18,occ,-0.2661,0.0092,0.0287,-0.001,-0.0,0.1351,0.3637,-0.0099,0.0317,0.3887,-0.273,-0.1769
18,fused,-0.2661,0.0095,0.0287,-0.0001,-0.0,0.1348,0.3637,-0.0089,0.0317,0.3259,-0.2817,-0.1598
18,fused_equal,-0.2661,0.004,0.0117,0.0008,-0.0005,0.1285,0.3481,-0.0083,0.0291,0.215,-0.279,-0.1595
19,att,-0.048,0.0021,0.0083,-0.0005,-0.0015,0.1451,0.324,-0.0081,-0.1033,0.2184,-0.0536,-0.0207
19,ig,-0.048,0.0368,0.1118,-0.001,-0.0004,0.1552,0.3631,-0.0082,-0.0945,0.253,-0.0798,0.0076
19,occ,-0.048,-0.0046,-0.0184,0.0003,0.0043,0.1459,0.338,-0.0092,-0.0906,0.3415,-0.0639,-0.0331
19,fused,-0.048,-0.0045,-0.0184,0.0007,0.0043,0.1455,0.338,-0.0079,-0.0906,0.3096,-0.0662,-0.0203
19,fused_equal,-0.048,0.0292,0.0822,0.0007,0.0049,0.1791,0.4423,-0.0065,-0.0886,0.2656,-0.0819,-0.0032
20,att,0.9016,-0.0145,-0.0467,0.0011,0.002,0.2286,-0.609,-0.01,-0.0667,0.2144,0.9096,0.7756
20,ig,0.9016,-0.0053,-0.0157,-0.0,-0.0001,0.1618,-0.4285,-0.0098,-0.047,0.2371,0.8956,0.8448
20,occ,0.9016,-0.0016,0.0034,-0.0017,-0.0064,0.1855,-0.4774,-0.0118,-0.0672,0.3736,0.8996,0.8359
20,fused,0.9016,-0.0016,0.0034,-0.0017,-0.0064,0.1855,-0.4774,-0.0118,-0.0672,0.3255,0.9012,0.8329
20,fused_equal,0.9016,-0.0106,-0.0336,-0.0004,0.0022,0.2052,-0.5514,-0.0109,-0.0531,0.2379,0.9058,0.8236
