phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,cons,mag,pol,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd,kd,kd_logit,kd_reg,kd_rel
teacher,1,3.361841987680506,0.7726955413818359,0.832489902222598,0.7710033478560271,0.6148655442176042,1.7343978572774816,0.0,0.9288257945466925,0.9904377802654549,0.491441132845702,0.9232887669845864,0.033827243803965824,0.005713629950251844,1.3639520759935733,,,,,,,
teacher,2,3.3199546028066567,0.772593080997467,0.8139349393270634,0.7540523224958667,0.5988261840409703,1.7385302119784884,0.0,0.9048572602095427,0.987004072577865,0.4932807551489936,0.9289624128076766,0.00817577496033024,0.002930264238751045,1.3406591923148543,,,,,,,
teacher,3,3.1117320193184748,0.6652325391769409,0.7380106200774511,0.6881007725993792,0.4990984363205455,1.6277479143054396,0.0,0.9140025222742999,0.8401003869043456,0.48659249477916294,0.9279241352169602,0.04376599363361796,0.004041945837714054,1.3038150778523199,,,,,,,
teacher,4,2.7795469805046364,0.6259472370147705,0.6257193513490535,0.5897250280336097,0.3599432372936496,1.472617506980896,0.0,0.9006866614023844,0.6574588048237341,0.47446400368655167,0.9274879351810172,0.03736032621452102,0.004287096262150617,1.280537638399336,,,,,,,
teacher,5,2.708001251573916,0.603975772857666,0.5994366981365062,0.5671312797952581,0.32305415885316,1.438049190574222,0.0,0.9003379455319157,0.6303091131978564,0.46380395138705216,0.9262052630936658,0.03276885262931938,0.004368173320674234,1.2685169687977544,,,,,,,
teacher,6,2.6337937955503112,0.5961068868637085,0.5783753323334234,0.5486693696843253,0.2970596433237747,1.396757463614146,0.0,0.8966427511639066,0.6027301973490803,0.4641665479651204,0.926506370306015,0.029702616924488986,0.004218850172711191,1.2559807256416038,,,,,,,
teacher,7,2.635928061273363,0.5942613482475281,0.5654216392172707,0.5376784050906146,0.2774323721726735,1.4138010850659124,0.0,0.8874246091754349,0.6133852490672359,0.47127251437416784,0.9278255535496606,0.02890364239337268,0.004147953776366732,1.2451656615292583,,,,,,,
teacher,8,2.5835974084006414,0.5895037055015564,0.5515287419160207,0.5254292162480177,0.2609952832626058,1.384698055408619,0.0,0.88718831759912,0.5871552587659271,0.47638140673990603,0.9285783458639074,0.026588303882076784,0.003971708912609352,1.234986819602825,,,,,,,
teacher,9,2.5846732589933605,0.5963984727859497,0.5534215928227814,0.5273391957636233,0.26082398404401763,1.3835608098242018,0.0,0.889412851245315,0.5849167494862167,0.47610422913674955,0.9291838551009143,0.02651040530246165,0.003940036511738543,1.2284168954248782,,,,,,,
teacher,10,2.529539377601058,0.5960897207260132,0.5338747942889178,0.5100209445313171,0.23853848619317566,1.3562318219078913,0.0,0.8844988732426254,0.5658290281339928,0.46898323076742665,0.92797393489767,0.026411136905490247,0.0039662556610656555,1.2245935797691345,,,,,,,
teacher,11,2.5189406518582946,0.5937319993972778,0.5298871662881639,0.5070095398911724,0.22877626724679162,1.3456012761151348,0.0,0.8884472372355284,0.5729051259932695,0.4760094803792459,0.9272075008462977,0.026313672428605734,0.003945709232033955,1.2227379282315571,,,,,,,
teacher,12,2.5309175341217607,0.5926432013511658,0.5406321778341576,0.5164262348854983,0.24205940837661424,1.3475619223382738,0.0,0.8927816737581182,0.5601161445180575,0.4769027006846887,0.9302478002177345,0.028246897238272207,0.003933685094428559,1.2207452191246881,,,,,,,
student,1,3.3623610425878456,0.7764002084732056,0.8274262370886626,0.7665107824184276,0.6091545582921417,1.7363452955528542,0.0,0.9201912648148007,0.986641690686897,0.47960589329401654,0.9273748309523971,0.05146773652759967,0.00684340129589179,1.334582876276087,0.0,0.1,0.0,,,,
student,2,3.2085745025564125,0.7620576024055481,0.7747712289845502,0.7200957906466944,0.5467543564736843,1.6802774182072393,0.0,0.9084658633779596,0.8951117139723566,0.49698867952382125,0.9351163738303714,0.032941989669645275,0.004303808121390089,1.2136509550942316,0.0,0.1,0.0,,,,
student,3,2.8890939906791404,0.7246918678283691,0.6642145139199717,0.6237937714214679,0.4042074292622231,1.5217771530151367,0.0,0.9066872894763947,0.7191196437235232,0.5048780170855699,0.9413242571883731,0.04337199911889103,0.0041645391611382365,1.025447279214859,0.0,0.1,0.0,,,,
student,4,2.805264698134528,0.6774871945381165,0.6142489435496153,0.5794928918282191,0.34756050610707867,1.4517541196611192,0.0,0.9006188798833776,0.6501657570953723,0.4871666254820647,0.939595968634994,0.03235289002596228,0.004228688586779215,0.8637035676726589,0.0,0.1,0.3,0.2232488308239866,0.09186496233774556,0.1279129965437783,0.03470873011759034
student,5,2.712122325544004,0.6385605931282043,0.5830614624751939,0.552103786556809,0.309576787882381,1.4283528570775632,0.0,0.892493686190358,0.6175208356645372,0.4892747689176489,0.9390448133150736,0.031171264075156715,0.004325096728280187,0.7160757614506615,0.0,0.1,0.28065209550948533,0.15783220074243015,0.06510130916204718,0.09017936278272558,0.025515285574969043
student,6,2.693758593665229,0.6146004796028137,0.5870211565936053,0.5559411849136706,0.3107996955858888,1.4153313283567075,0.0,0.8984627315291652,0.6006187581353717,0.4880993449025684,0.9373299446370866,0.030026058597421204,0.004328973479224024,0.6042790843380822,0.0,0.1,0.26255199571288423,0.14766145414776272,0.06062666464734961,0.08469130307504977,0.02343486440885398
student,7,2.6256943146387735,0.6002427339553833,0.5571194335266396,0.5301156573825412,0.27003776471785923,1.3932727376619976,0.0,0.8880388626345882,0.5899511007247148,0.4883386266452295,0.9360483807546122,0.0289909515046963,0.0042552958863476915,0.5165293845865462,0.0,0.1,0.24561922592339452,0.13235507277702843,0.05393215844890586,0.07614808284712059,0.022748311490027442
student,8,2.599314950130604,0.5923163890838623,0.5494427785829261,0.5238011799476765,0.25641600173656587,1.3811526695887248,0.0,0.8875122776737919,0.5826030086587977,0.48780198726389146,0.9359365778940695,0.02756581914231733,0.004177231160509918,0.4464415532571298,0.0,0.1,0.2297785015093946,0.12989253454186298,0.05311622408529123,0.0745759238316505,0.022003881909229136
student,9,2.5694996030242354,0.589640200138092,0.5431980275445514,0.5181941257582771,0.25003897305577993,1.3631672947495073,0.0,0.8836497609262113,0.5730187605928492,0.4856541758334195,0.9363143664819223,0.02698645661412566,0.004129098723987462,0.39541475750781874,0.04,0.2,0.21495939317213678,0.1390579051717564,0.057497513859912204,0.07922601982675216,0.02334372652694583
student,10,2.547829270362854,0.5890447497367859,0.5361444414765747,0.512171709979022,0.23972728351751962,1.3487590948740642,0.0,0.8856593359399725,0.580857436966013,0.48652066897462914,0.9366626121379711,0.02742004053046306,0.004132591847640772,0.35844524591057386,0.04,0.2,0.20109601381069178,0.1316686294696949,0.053245037932086875,0.07608811536596881,0.023354758051465505
student,11,2.50679894067623,0.5889065265655518,0.520764297357312,0.49904708233144546,0.21717213646129327,1.3319153388341267,0.0,0.8860525643384015,0.5565213915650491,0.48682122374022446,0.9358177306475463,0.027385237592237967,0.004083991029161822,0.3336687275656947,0.04,0.2,0.18812672558191681,0.13323635828715782,0.055024709173098756,0.07582381754009812,0.02387832549262654
student,12,2.505128432203222,0.58866947889328,0.529115194523776,0.5064079391735571,0.2270725101094555,1.3238397306866116,0.0,0.887314905722936,0.5490321478358021,0.4845491471113982,0.9373167521423764,0.028168670143242234,0.004102388396859169,0.31892506115966374,0.04,0.2,0.17599386585300955,0.13910510046062646,0.057013884738639546,0.07966674705622373,0.024244683432496257
student,13,2.5066222747166953,0.5882492065429688,0.518425025873714,0.4973335266113281,0.21091498625119803,1.3408493686605383,0.0,0.8753604524665408,0.5590026472453717,0.48739325006802875,0.9367984897560544,0.027026242128124944,0.004087511286208475,0.3115269033997147,0.04,0.2,0.16464349082820795,0.14148593169671517,0.056454098817926866,0.08264099882432709,0.023908361292409676
student,14,2.542985611491733,0.5887097120285034,0.529740395921248,0.5075410389237933,0.22199361716155652,1.3661708588953372,0.0,0.8711526504269352,0.5710243488903399,0.48645452437577424,0.9370350153357895,0.027159915305674076,0.004092553367458836,0.3084436070036005,0.04,0.2,0.1540251357097776,0.13945797499683169,0.05660376404584558,0.08036968995023656,0.02484520214299361
