phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,cons,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd,kd,kd_logit,kd_reg,kd_rel
teacher,1,2.683957740112587,0.7786686420440674,0.8364870868347309,0.7739681789168605,0.6251890653813327,1.8145187806200098,0.0,0.48884379035896725,0.9194076072286677,0.03313910886990251,0.005555045821152076,1.3604787190755208,,,,,,,
teacher,2,2.6619565575211137,0.7741038799285889,0.8337860394407202,0.7722538974550035,0.6153213768093674,1.8092124329672918,0.0,0.499126339952151,0.9262081892402084,0.008537146719862465,0.002900449261586699,1.3239316763701263,,,,,,,
teacher,3,2.563032070795695,0.6797107458114624,0.7690624219399912,0.7142407055254336,0.5482171216496715,1.7586913175053067,0.0,0.4798118510731944,0.9280795620547401,0.04171824667395817,0.003733521034182222,1.25524240732193,,,,,,,
teacher,4,2.200642755738011,0.6161007881164551,0.6317995963273225,0.5954145182062078,0.36385078231493634,1.5306229348535891,0.0,0.46704212769314096,0.9273618448663641,0.04813620841337575,0.004526064610453667,1.1889030469788446,,,,,,,
teacher,5,2.1443164900497154,0.625729501247406,0.6115075664387809,0.5774209521434925,0.34086615192117514,1.501332852575514,0.0,0.46486656588536723,0.925241654669797,0.03547763148391688,0.004342979104775522,1.1565779094342832,,,,,,,
teacher,6,2.073194141741152,0.5964144468307495,0.5755391987385573,0.5469630719334991,0.2857612789505058,1.4673028036400124,0.0,0.4705702198876275,0.9266394398830555,0.033837502270385074,0.0042534309646321666,1.1306650241216023,,,,,,,
teacher,7,2.0752707167907998,0.5936759114265442,0.5772041413519118,0.5474602811866336,0.2974386260741287,1.4692487782902188,0.0,0.47245839790061667,0.9294677376747131,0.03132515673146204,0.0041129900944522685,1.10987064131984,,,,,,,
teacher,8,2.008984378090611,0.5906369686126709,0.541563473365925,0.5168214249942038,0.24742045488070558,1.4392231040530734,0.0,0.4635472921309648,0.9252481537836569,0.03039055890231221,0.004127029799511311,1.0939031110869513,,,,,,,
teacher,9,1.9939325164865564,0.5901190638542175,0.5399203046604439,0.5165470529485632,0.23373255637232904,1.4260321303650185,0.0,0.46340983278221554,0.9261421682658019,0.03023101554976569,0.004102623159134829,1.0813265177938673,,,,,,,
teacher,10,1.975624640782674,0.5905604362487793,0.5431329922543632,0.5193774159307833,0.23755575851019886,1.4045830523526226,0.0,0.47167218172991715,0.9266454533294395,0.030238685129141366,0.004109238420992538,1.0734645768448159,,,,,,,
teacher,11,1.9542632345800046,0.590632438659668,0.5306346543409206,0.507986937959989,0.22647716839694315,1.3960849929738928,0.0,0.4645973328087065,0.9267978480568638,0.029636762104928493,0.00409296920730008,1.0678749636367515,,,,,,,
teacher,12,1.9494803216722276,0.5907675623893738,0.5265932717808971,0.5045826070838504,0.22010663951988574,1.3949475718869104,0.0,0.4642347980428625,0.9259757156725283,0.030436516946388617,0.004108596692310163,1.0666918048152216,,,,,,,
student,1,2.6980384588241577,0.7759477496147156,0.8424365178302482,0.7797506197735116,0.6268590098177945,1.8182126195342452,0.0,0.5068217885714991,0.94631137781673,0.04239991465928378,0.006277472030854336,1.3050596051745944,0.0,0.1,0.0,,,,
student,2,2.6619881479828447,0.7707245349884033,0.8279161364943893,0.7668420639302995,0.6107407107397362,1.8157658091297857,0.0,0.5363006956047482,0.9571909926555775,0.010427623935457733,0.0036829425910211823,1.1250909412348713,0.0,0.1,0.0,,,,
student,3,2.4355966691617614,0.7545818090438843,0.725161142371319,0.6778773814439774,0.4728375894052011,1.6754674293376781,0.0,0.5165640783530695,0.9589314648398647,0.04917058300364901,0.004632471845036856,0.8066551089286804,0.0,0.1,0.0,,,,
student,4,2.2666526392654136,0.7094252109527588,0.6153718244146418,0.5804758811438525,0.34895940449226787,1.5373557033362213,0.0,0.5060059665529816,0.9582070531668486,0.035720601539920876,0.004513251228706428,0.5877468045111056,0.0,0.1,0.3,0.293102383337639,0.1274477086133427,0.16472625139134903,0.009284250179512633
student,5,2.1813029161206,0.6586810350418091,0.5956548579313137,0.5633699148893356,0.3228494613948796,1.5080125618863989,0.0,0.5015049659543567,0.9555658389020849,0.031680017399291195,0.004393731416375549,0.4742835980874521,0.0,0.1,0.28065209550948533,0.19545823770264784,0.08700807675443313,0.10778900011684056,0.006611621106491872
student,6,2.093040477346491,0.6195714473724365,0.5600378041466078,0.532206024284716,0.2783178216605275,1.4687374256275318,0.0,0.5005003804409945,0.9547302954726749,0.029709393124061602,0.00428671830471743,0.393202461026333,0.0,0.1,0.26255199571288423,0.1650537238628776,0.07401690970140475,0.09044633039997683,0.005904842556143801
student,7,2.0741335418489246,0.597813606262207,0.5518175335945906,0.5251287111529598,0.2668882394554438,1.4675580770881087,0.0,0.499053943488333,0.9540905764809361,0.030566127694867277,0.004265136344151365,0.33096255196465385,0.0,0.1,0.24561922592339452,0.13855858229928547,0.06013489762941996,0.0779474024074497,0.004762831266917702
student,8,2.0419776748727867,0.5876959562301636,0.5341735195230555,0.5098121776073067,0.24361340949932733,1.4563612849624068,0.0,0.4981805831193924,0.9542262234069683,0.02955409853408734,0.004262673409862651,0.28561915015732803,0.0,0.1,0.2297785015093946,0.1378645867937141,0.05801217333862075,0.07938519058128198,0.004672238436965186
student,9,2.03942698902554,0.5837883353233337,0.5453367211200573,0.5191929919852151,0.2614373159077432,1.4467461925965768,0.0,0.5028223296006521,0.9529594160892345,0.028215840855544363,0.004205872162452174,0.2543143174714512,0.04,0.2,0.21495939317213678,0.13300212614100287,0.05464218786262252,0.07787889299948735,0.004810448508511332
student,10,2.002031041516198,0.5826783776283264,0.5364086776971817,0.5123987446228663,0.24009932677640958,1.4177801896024633,0.0,0.49988562972457323,0.9527746383790616,0.02808330575418141,0.004178668587916979,0.23229005187749863,0.04,0.2,0.20109601381069178,0.14614066716145585,0.058982342274652586,0.08662137713421274,0.005369472356202702
