missing_type,rho,aware_acc,aware_mae,aware_f1,unaware_acc,unaware_mae,d_acc_vs_clean,d_mae_vs_clean
audio,0.1,0.6253434065934066,0.5862294882535934,0.6206118229776773,0.6253434065934066,0.5862808674573898,0.0003434065934065922,1.1906027793884277e-05
audio,0.2,0.6256868131868132,0.5862366557121277,0.6208889373308744,0.6256868131868132,0.5862832516431808,0.0006868131868131844,1.9073486328125e-05
audio,0.3,0.6256868131868132,0.5861984938383102,0.620803328983776,0.6256868131868132,0.586239755153656,0.0006868131868131844,-1.9088387489318848e-05
audio,0.5,0.623282967032967,0.5860742628574371,0.6187653286732144,0.6229395604395604,0.5861064195632935,-0.001717032967032961,-0.00014331936836242676
audio,1.0,0.6181318681318682,0.5861794352531433,0.6135132196830547,0.6208791208791209,0.5861983299255371,-0.006868131868131844,-3.814697265625e-05
audio+vision,0.1,0.6243131868131868,0.5864364057779312,0.6197756122884885,0.6243131868131868,0.5864877253770828,-0.0006868131868131844,0.00021882355213165283
audio+vision,0.2,0.623282967032967,0.586782917380333,0.6187652455557969,0.6222527472527473,0.5868226289749146,-0.001717032967032961,0.0005653351545333862
audio+vision,0.3,0.6219093406593407,0.5870811939239502,0.6176580757672685,0.6215659340659341,0.5871345102787018,-0.0030906593406593297,0.0008636116981506348
audio+vision,0.5,0.6198489010989011,0.5882655531167984,0.6154034777073524,0.6198489010989011,0.5883116126060486,-0.005151098901098883,0.0020479708909988403
audio+vision,1.0,0.6126373626373627,0.5912178158760071,0.6096201669017884,0.6098901098901099,0.5911322832107544,-0.012362637362637319,0.0050002336502075195
text,0.1,0.6146978021978022,0.5825428068637848,0.6115591041546979,0.6146978021978022,0.5825980603694916,-0.010302197802197766,-0.0036747753620147705
text,0.2,0.604739010989011,0.5817144364118576,0.6016049967409198,0.6054258241758241,0.5818135291337967,-0.02026098901098905,-0.004503145813941956
text,0.3,0.5978708791208791,0.5875784754753113,0.5947009112092798,0.5982142857142857,0.5878533571958542,-0.027129120879120894,0.0013608932495117188
text,0.5,0.5793269230769231,0.617316722869873,0.5762719494283166,0.5755494505494505,0.6182484179735184,-0.04567307692307687,0.031099140644073486
text,1.0,0.3585164835164835,0.767572283744812,0.3263644364320817,0.3695054945054945,0.7699743509292603,-0.2664835164835165,0.18135470151901245
text+audio,0.1,0.6150412087912088,0.5811856538057327,0.6117006202973574,0.6153846153846154,0.5812241286039352,-0.009958791208791173,-0.0050319284200668335
text+audio,0.2,0.6026785714285714,0.5820648670196533,0.5998558202622474,0.6023351648351648,0.5821475088596344,-0.022321428571428603,-0.00415271520614624
text+audio,0.3,0.59375,0.5879102498292923,0.5913904791664449,0.5899725274725275,0.5881341397762299,-0.03125,0.0016926676034927368
text+audio,0.5,0.5748626373626373,0.6182800084352493,0.5725180739069057,0.5738324175824175,0.6191306561231613,-0.05013736263736268,0.03206242620944977
text+audio,1.0,0.35302197802197804,0.7685552835464478,0.31954461275699936,0.3585164835164835,0.7707979083061218,-0.27197802197802196,0.1823377013206482
text+audio+vision,0.1,0.6167582417582418,0.5824836045503616,0.6138268133873425,0.6164148351648352,0.5825338065624237,-0.008241758241758212,-0.0037339776754379272
text+audio+vision,0.2,0.6054258241758241,0.5842295140028,0.6026462072411205,0.604739010989011,0.5843074470758438,-0.019574175824175866,-0.0019880682229995728
text+audio+vision,0.3,0.5951236263736264,0.5908191651105881,0.5934389061223084,0.5951236263736264,0.5910422503948212,-0.02987637362637363,0.004601582884788513
text+audio+vision,0.5,0.5679945054945055,0.6239771544933319,0.5667691353233213,0.5676510989010989,0.6246809810400009,-0.057005494505494525,0.03775957226753235
text+audio+vision,1.0,0.29945054945054944,0.7816921472549438,0.2639086792691809,0.31456043956043955,0.7828404307365417,-0.32554945054945056,0.1954745650291443
vision,0.1,0.6253434065934066,0.5864673107862473,0.6206051418312443,0.625,0.5865244120359421,0.0003434065934065922,0.00024972856044769287
vision,0.2,0.6236263736263736,0.5868642926216125,0.6191329570507724,0.6229395604395604,0.5869116187095642,-0.0013736263736263687,0.0006467103958129883
vision,0.3,0.6229395604395604,0.5871746987104416,0.6184007865131348,0.6229395604395604,0.587243527173996,-0.002060439560439553,0.0009571164846420288
vision,0.5,0.6239697802197802,0.5882982015609741,0.6190048701597584,0.623282967032967,0.588376060128212,-0.0010302197802197766,0.0020806193351745605
vision,1.0,0.6153846153846154,0.5908973813056946,0.6125488050695401,0.6167582417582418,0.5908653140068054,-0.009615384615384581,0.0046797990798950195
