phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,cons,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd,kd,kd_logit,kd_reg,kd_rel
teacher,1,2.455446817256786,0.7809926867485046,1.299302245731707,1.2369228998819988,0.6237935136865687,1.1173651108035334,0.011261074382303006,0.49128778168448695,0.9194007924309483,0.03350291130374427,0.005577508821497085,1.360867804951138,,,,,,,
teacher,2,2.42968291927267,0.754092276096344,1.2898885839515262,1.2286865214506786,0.6120205858239421,1.1131366734151487,0.013837296562592706,0.49623600200370505,0.9251673089133369,0.009795174295841544,0.0031615576267035473,1.3260633790934528,,,,,,,
teacher,3,2.159247934818268,0.6498077511787415,1.0721716682116191,1.025668486400887,0.46503182169463897,1.0313251272395805,0.03575183809045012,0.48425819752392946,0.9268025700692777,0.046531562176015645,0.0041248644831486875,1.254699534840054,,,,,,,
teacher,4,1.8897529067816559,0.6095040440559387,0.9162030738812906,0.8810090036303909,0.3519406807091501,0.9376392530070411,0.010808507135758797,0.47117514687555806,0.9209139611985948,0.032646329383607266,0.004442194140412741,1.1962057837733515,,,,,,,
teacher,5,1.8369216764414753,0.620512843132019,0.8806251773127803,0.8476752164187255,0.3294996495048205,0.9230771429008908,0.0110752464927457,0.4580958871929734,0.9211809668276045,0.02786453499424237,0.004306990282472085,1.159595529238383,,,,,,,
teacher,6,1.7724909561651725,0.6123917102813721,0.835336854060491,0.8065192412447046,0.28817611532630744,0.9066092129106875,0.00791582748880265,0.4587450408273273,0.9208091629876031,0.026408112780363473,0.004194074573374733,1.1285882128609552,,,,,,,
teacher,7,1.7504256698820326,0.5963893532752991,0.8168435913545115,0.7895676052128827,0.2727598224387125,0.9039355957949603,0.008998657119701858,0.45960548133761797,0.9237577815850576,0.024120230262202245,0.00406512201556729,1.105448517534468,,,,,,,
teacher,8,1.7154425250159369,0.5873536467552185,0.7900950892104043,0.7650282515419854,0.25066840158844433,0.8971782558494144,0.00826050377347403,0.4596214195092519,0.9198663841795038,0.02238216980670889,0.004005999369029369,1.0844826256787334,,,,,,,
teacher,9,1.7085576830086884,0.5905392169952393,0.7864318357573615,0.7623141479712946,0.24117688532849704,0.8946986187387396,0.007759430902768616,0.4685708013949571,0.9211287310829869,0.021745988150575647,0.00396841277230393,1.0690318323947765,,,,,,,
teacher,10,1.7024611521650244,0.5915347337722778,0.7916016192347916,0.7671990438743874,0.24402573518455029,0.8838884808399059,0.007436738082173246,0.4694834025921645,0.920205588693972,0.021364404457724757,0.0039396490987942175,1.0600655807389154,,,,,,,
