phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,cons,mag,pol,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd,kd,kd_logit,kd_reg,kd_rel
teacher,1,3.1119918205119945,0.7770783305168152,0.8319575808666371,0.7704129737836344,0.615446036612546,1.7388109851766516,0.0,1.0100011472348813,0.0,0.5275891942006571,0.9453423199830232,0.038364920023552795,0.007156737424709179,1.3461880838429485,,,,,,,
teacher,2,3.0069886799211853,0.7354303598403931,0.8008494415768871,0.7423040750953886,0.5854536628833523,1.7262054394792627,0.0,0.9082536156530734,0.0,0.5400682864365755,0.9522679558506718,0.021088281318683316,0.005087237598167526,1.2719229923354254,,,,,,,
teacher,3,2.748636786584501,0.6577163338661194,0.69532107423853,0.651892125054642,0.4342895016350128,1.5573454278486747,0.0,0.9060118551607486,0.0,0.5542489422692193,0.9608889774039939,0.05706851577593221,0.0048358123835728125,1.2012168632613287,,,,,,,
teacher,4,2.5997632918534457,0.6232784986495972,0.6325511877183561,0.5961888327642724,0.3636235291207278,1.4855713888450905,0.0,0.8977129139282085,0.0,0.5411625140243106,0.9577801271721169,0.03764473584791025,0.005067486764380225,1.1428109782713431,,,,,,,
teacher,5,2.511567963494195,0.6172457933425903,0.606168547714198,0.5730336126354005,0.3313493398880517,1.4237100481987,0.0,0.9040294422043694,0.0,0.5377526239112571,0.9584901410120504,0.03215167336855774,0.005094727216702368,1.1051438097600583,,,,,,,
teacher,6,2.4816271331575184,0.6004126667976379,0.5917439560095469,0.5604926082823012,0.3125134678902449,1.4105765091048346,0.0,0.8995615365328612,0.0,0.5426485074890984,0.9566551292384112,0.032528357235369856,0.005249585895971568,1.0636950422216345,,,,,,,
teacher,7,2.4590660157027067,0.5953478813171387,0.589264652243367,0.5585562448810648,0.30708405485859624,1.392291009426117,0.0,0.8959341567975504,0.0,0.5398565376246417,0.9602831668323941,0.03304212357572935,0.005293674594550221,1.0375395682122972,,,,,,,
teacher,8,2.4233809135578297,0.6085362434387207,0.5634216296452063,0.5361234037964432,0.272982323197303,1.3853297542642664,0.0,0.8917993417492619,0.0,0.5391119839968505,0.9560728326991752,0.03191223230074953,0.00524291823859568,1.0152250395880804,,,,,,,
teacher,9,2.387942409073865,0.6077905297279358,0.5485791746113036,0.5231083704641571,0.25470803567656763,1.3664809310877766,0.0,0.8872079716788398,0.0,0.5278737467748148,0.9562608941837594,0.033417698444315684,0.005188894984139888,0.9974992153821168,,,,,,,
teacher,10,2.387025744826705,0.6006768345832825,0.5518468458343435,0.5268476539187961,0.24999196137543078,1.3630413479275174,0.0,0.8866253428988986,0.0,0.5378824704223208,0.9573928161903664,0.03278959121693064,0.005151657861898895,0.9854241466080701,,,,,,,
teacher,11,2.390566936245671,0.5970807671546936,0.5546123225379873,0.5289335587510356,0.2567876739496434,1.362573367578012,0.0,0.8884853455755446,0.0,0.5281172229184045,0.9584475104455594,0.03351823419884399,0.005183211200077225,0.9787848878789831,,,,,,,
teacher,12,2.3665150050763732,0.5974116325378418,0.5358704782470509,0.5122508276943807,0.23619651373613765,1.359115602793517,0.0,0.8854449579009304,0.0,0.5452410722220385,0.9580544763141208,0.03295199752405838,0.005159895522175012,0.9750509714638745,,,,,,,
student,1,3.0626311346336648,0.7768440842628479,0.8137976888705183,0.7534818612039089,0.6031582573497737,1.7504683688834861,0.0,0.9174455404281616,0.0,0.5398793474391654,0.9554872667347943,0.04425214155128709,0.00770900508871785,1.3661730819278293,0.0,0.1,0.0,,,,
student,2,3.0360045477196023,0.7769361138343811,0.8246300132186325,0.7633029487397935,0.6132706365099659,1.7370377492021631,0.0,0.9077910681565603,0.0,0.5584468322771566,0.9657361915817967,0.010885392332932464,0.0048039171249709195,1.2596591534437958,0.0,0.1,0.0,,,,
student,3,2.8759320621137268,0.7662976384162903,0.7536295199835742,0.7020887302027808,0.5154078878738262,1.6372136650262055,0.0,0.9060879073761128,0.0,0.5634203895374581,0.9738776937679008,0.0410185333651801,0.00437018083822396,0.9350573089387682,0.0,0.1,0.0,,,,
student,4,2.6828615842042147,0.7209522724151611,0.6372848920248173,0.6006122968263097,0.366725980580129,1.4799516532156203,0.0,0.896016259988149,0.0,0.5628415732472031,0.9750625491142273,0.03751351749869408,0.004203075215358425,0.653478761514028,0.0,0.1,0.3,0.30074602406885886,0.12457597159125187,0.1755340894063314,0.006359637106975747
student,5,2.5397119654549494,0.6682642102241516,0.6019910943728907,0.5697017002988745,0.32289393135794886,1.4178654573581837,0.0,0.8981555468506284,0.0,0.5620141603328563,0.974174439907074,0.03043834658132659,0.004110957780438993,0.525730248954561,0.0,0.1,0.28065209550948533,0.17190572453869712,0.07435494723419349,0.09716738132690941,0.003833964738684396
student,6,2.473183967449047,0.6280843019485474,0.5801153707283514,0.5511051979329851,0.2901017293334007,1.3892066809866164,0.0,0.889589641933088,0.0,0.558127244313558,0.9722659488519033,0.028584794486286463,0.004160173353739083,0.434024378657341,0.0,0.1,0.26255199571288423,0.1460828942557176,0.062146209421809075,0.08358725025835964,0.0034943524515256286
student,7,2.447117743668733,0.6053970456123352,0.569786826217616,0.5424408482180701,0.2734597655599592,1.3768086433410645,0.0,0.8838392131858401,0.0,0.5570794343948364,0.9717476842580018,0.02835012068627057,0.004346022511728936,0.36455658354141096,0.0,0.1,0.24561922592339452,0.1571906671203949,0.06654191493160194,0.09026735193199581,0.0038139902344145986
student,8,2.433654886704904,0.593587338924408,0.5603683888912201,0.5344622057897074,0.2590618570921598,1.3800523788840682,0.0,0.8785101649937807,0.0,0.5504066855819137,0.970292721633558,0.028845905464280536,0.00450219515780056,0.314167277680503,0.0,0.1,0.2297785015093946,0.14867931017997088,0.06471304047024912,0.08358434484236771,0.0038192372475923213
student,9,2.3849288092719183,0.5905573964118958,0.5477287267093305,0.5231654953073572,0.2456323213323399,1.341955299730654,0.0,0.8827713893519508,0.0,0.5479229721758101,0.9710442203062551,0.030818007782929473,0.00467323273834255,0.2791646928698928,0.04,0.2,0.21495939317213678,0.15501452637491403,0.06892781218306886,0.08567218903314185,0.004145246539135567
student,10,2.369422373948274,0.589787483215332,0.5455907312808214,0.5218056434834445,0.23785085910586296,1.331563256405018,0.0,0.8793113717326412,0.0,0.545972427836171,0.9696281143912563,0.03116951486164773,0.004668712309837618,0.2548784878518846,0.04,0.2,0.20109601381069178,0.15984802334396928,0.07032977244644253,0.0890811195390092,0.004371305785348846
