phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,cons,mag,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd,kd,kd_logit,kd_reg,kd_rel
teacher,1,3.1104285231343023,0.7764961123466492,0.8318531535289906,0.7703145411279466,0.6153861516051822,1.7388591788433216,0.0,1.0093707883799519,0.49509742469699297,0.9215321596022006,0.0370498720590991,0.006075906976884989,1.3467944087805572,,,,,,,
teacher,2,3.000420265727573,0.7237497568130493,0.7972326929922458,0.7395453326128147,0.5768735917905966,1.7225796536163047,0.0,0.9075560039944119,0.5060612090207912,0.9280475201430144,0.024234632771738148,0.00392943970358896,1.2747899558809068,,,,,,,
teacher,3,2.7089166861993297,0.6519584655761719,0.6804713656504949,0.6387700573713692,0.41701313818770425,1.5335697995291815,0.0,0.9046960760045935,0.49555417398611706,0.9334062503443824,0.05688241317316338,0.004044624394737184,1.2063936569072582,,,,,,,
teacher,4,2.586989261485912,0.6138907074928284,0.6250727226336797,0.5895561907026503,0.3551652613613341,1.4823025089723092,0.0,0.8972060062267162,0.49970957747212164,0.9301706254482269,0.034787589166727334,0.0042304738804146095,1.1501988260834306,,,,,,,
teacher,5,2.4901371134652033,0.6114943027496338,0.5955238220868287,0.5637331820196576,0.3179063886679985,1.4142586522632175,0.0,0.90316927101877,0.4897645778126187,0.930253087370484,0.031059163588064688,0.004216293907827801,1.113227387269338,,,,,,,
teacher,6,2.467600208741647,0.5973849296569824,0.5849628774104295,0.554876830290865,0.3008604535350093,1.404469456937578,0.0,0.8985915117793613,0.48631959436116395,0.9362110296885172,0.032023252401914865,0.0043363376537820806,1.0692342034092657,,,,,,,
teacher,7,2.419631348715888,0.5928587317466736,0.5696209299343603,0.5414844646498009,0.28136465081048234,1.37401928725066,0.0,0.893551731551135,0.49442788351465156,0.9328748142277753,0.03323747728157927,0.004338170462115495,1.0427470361744915,,,,,,,
teacher,8,2.379985988140106,0.5997486710548401,0.5466619051165051,0.5214380169356311,0.25223887733321776,1.3599849475754633,0.0,0.889681425359514,0.483386872543229,0.9299316461439486,0.03233869497974714,0.004320885899856135,1.0168614751762814,,,,,,,
teacher,9,2.3579258168185198,0.5979408621788025,0.537354040477011,0.5141087771841774,0.23245266914643622,1.3499241647896942,0.0,0.8833855511965575,0.48317608182077054,0.9308055286054258,0.03367924683347896,0.004308199389251294,0.9961103211950373,,,,,,,
teacher,10,2.379062122768826,0.5927649140357971,0.5505619225678621,0.5253953012051406,0.2516662225265194,1.3576984692502905,0.0,0.8852429025703006,0.4923839298663316,0.9310979434737453,0.03242951058955104,0.004255892752014377,0.9837553026499571,,,,,,,
teacher,11,2.37697172164917,0.592305600643158,0.5469181747348221,0.5212846249341965,0.25633548144940976,1.3586749456546925,0.0,0.8867062396473355,0.4918937920420258,0.9324791287934339,0.032246552787169265,0.004253978405527219,0.9775217727378562,,,,,,,
teacher,12,2.337079957679466,0.5928249359130859,0.5286119668572037,0.5063666298433587,0.22245332440016446,1.339266264880145,0.0,0.8828325944918173,0.48382408144297423,0.9317959160716446,0.03186482199709172,0.004245213586492119,0.9730421580650188,,,,,,,
student,1,3.0610552849592985,0.7768097519874573,0.8136979373240912,0.7534023099751385,0.602956258588367,1.7504027441695884,0.0,0.917053774551109,0.49728774969224576,0.9314677759453103,0.04287951079162734,0.006575878131789742,1.370003009283984,0.0,0.1,0.0,,,,
student,2,3.033737990591261,0.7767131328582764,0.8233514141153406,0.7621886818497269,0.6116273011322375,1.736236203599859,0.0,0.907708223219271,0.5133084544429073,0.9399640096558465,0.011575153959846055,0.0036054987382764616,1.2705926210791976,0.0,0.1,0.0,,,,
student,3,2.840056684282091,0.7633951902389526,0.7405154407024384,0.6909167253308826,0.4959871619939804,1.6138609426992911,0.0,0.9054355477845227,0.5167064114853188,0.9461881496288158,0.043291510082781315,0.003639272185628889,0.9497144056691064,0.0,0.1,0.0,,,,
student,4,2.6821792478914612,0.7174481153488159,0.6323610662862107,0.5963326653948536,0.3602839838023539,1.4751268205819306,0.0,0.8948981530136533,0.5115155903277574,0.9457165013860773,0.03537380095157358,0.0035321908200987512,0.6836586009573054,0.0,0.1,0.3,0.3365090511463307,0.14018213721337142,0.1956080133440318,0.007189031022048935
student,5,2.5327215503763267,0.6667439937591553,0.595547694850851,0.5643430280464666,0.31204666004136755,1.409879167874654,0.0,0.8962741317572417,0.5102146510724668,0.9445253279474046,0.03012418357172498,0.003556205916942822,0.5489967912435532,0.0,0.1,0.28065209550948533,0.2024835286041101,0.08662233984580746,0.1154026680936416,0.004585219284140125
student,6,2.4644289678997464,0.6283004283905029,0.5745364399971785,0.54660615545732,0.2793028556086399,1.382701657436512,0.0,0.8870830458623392,0.5040670782327652,0.9420146997328158,0.029049353087665857,0.0036945334135520236,0.4483871035001896,0.0,0.1,0.26255199571288423,0.16299066361453798,0.06865671880681205,0.09395118099119928,0.003827629621675307
student,7,2.4281228670367487,0.6055505871772766,0.5600296396900106,0.534089242970502,0.25940398278611676,1.3654906705573753,0.0,0.8811571851924613,0.4997758545257427,0.9415188475891396,0.031110709084680787,0.003939747784493698,0.37198745486912904,0.0,0.1,0.24561922592339452,0.16602463137220452,0.06796840302370212,0.09765926576047032,0.003969620061710615
student,8,2.412655653776946,0.5922132134437561,0.5504734273310061,0.5262287071457615,0.24244718295004633,1.3678796026441786,0.0,0.8760367068979475,0.49422485574528024,0.9412740468978882,0.03333296675097059,0.004010802285780234,0.31613383414568724,0.0,0.1,0.2297785015093946,0.14993154561078106,0.06390051467827072,0.08564419658095748,0.003868349924838791
student,9,2.357269048690796,0.5870199799537659,0.5363056814229047,0.513535420651789,0.22770259156823158,1.3265651950129755,0.0,0.8795493101632154,0.49325797072163335,0.942748839104617,0.03415426777468787,0.0040442320147391275,0.27957441188670973,0.04,0.2,0.21495939317213678,0.15225436255611755,0.06575312586156307,0.08609611256462005,0.0040512434675798025
student,10,2.344322458461479,0.5856378674507141,0.53462537350478,0.5124102974379504,0.22215077336187716,1.319859215506801,0.0,0.8768873634161772,0.4927161931991577,0.9416992002063327,0.032338270262159685,0.004034405824279896,0.25453507624290606,0.04,0.2,0.20109601381069178,0.15247694734070036,0.06529016730686028,0.08675811412157836,0.004286661803403318
