phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,cons,mag,pol,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd
teacher,1,3.3132858872413635,0.8485295176506042,0.9887976832687855,0.9122146107256413,0.7658306993544102,1.7229502871632576,0.0,1.091274157166481,0.0,0.494910953566432,0.9250946529209614,0.0768374796025455,0.007570530899101868,1.369682990014553,,,
teacher,2,3.237638473510742,0.8187946081161499,0.9805993214249611,0.9057108014822006,0.7488851733505726,1.7213598266243935,0.0,1.012268055230379,0.0,0.48724909126758575,0.9234559088945389,0.025619013351388276,0.006225814460776746,1.3622894957661629,,,
teacher,3,3.2075058072805405,0.7965079545974731,0.9782854579389095,0.9043923579156399,0.7389310225844383,1.7170306667685509,0.0,0.9759660474956036,0.0,0.4990526866167784,0.9261631034314632,0.016345408046618104,0.004973341594450176,1.3547298908233643,,,
teacher,4,3.1994139701128006,0.8201912641525269,0.9780777916312218,0.9037658199667931,0.743119765073061,1.7174256965517998,0.0,0.9624856971204281,0.0,0.5004966650158167,0.9272929579019547,0.014001366507727653,0.00438844581367448,1.3472747951745987,,,
teacher,5,3.1937090009450912,0.8093001842498779,0.9765129461884499,0.9023457355797291,0.7416720911860466,1.7157049849629402,0.0,0.9586810953915119,0.0,0.5004620347172022,0.9272071830928326,0.013343162194360048,0.00410557072609663,1.3426135927438736,,,
teacher,6,3.190853461623192,0.8134598731994629,0.9753198176622391,0.9013548195362091,0.7396499328315258,1.7149708718061447,0.0,0.9569917283952236,0.0,0.5041075348854065,0.9287617579102516,0.013290410046465695,0.004028075360110961,1.3407702147960663,,,
student,1,3.277571052312851,0.8369632959365845,0.9807742796838284,0.9058531560003757,0.7492111474275589,1.7226770967245102,0.0,1.0037327334284782,0.0,0.49746824987232685,0.9370254091918468,0.10877251951023936,0.008213907975004986,1.376010999083519,0.0,0.1,0.0
student,2,3.215069502592087,0.8334965705871582,0.9789588376879692,0.9045820608735085,0.7437676154077053,1.7173478305339813,0.0,0.9644746817648411,0.0,0.49328023567795753,0.9354109019041061,0.039355611661449075,0.006481596501544118,1.3606986701488495,0.0,0.1,0.0
student,3,3.195389837026596,0.8314204812049866,0.9752206839621067,0.9011302441358566,0.7409044504165649,1.7155475169420242,0.0,0.9555180594325066,0.0,0.5004891436547041,0.939784400165081,0.021535443956963718,0.005343087745131925,1.3423327431082726,0.0,0.1,0.0
student,4,3.183554485440254,0.8309301137924194,0.9713732600212097,0.8979656994342804,0.7340756207704544,1.711772382259369,0.0,0.9521858654916286,0.0,0.5046527180820704,0.9404747039079666,0.017379754222929478,0.00480817785137333,1.322193756699562,0.0,0.1,0.0
student,5,3.1603691577911377,0.8266623616218567,0.9596822261810303,0.8865289613604546,0.7315327003598213,1.7004987597465515,0.0,0.9502317495644093,0.0,0.5018680021166801,0.9421897679567337,0.019477096619084477,0.004539752815617248,1.3063769787549973,0.0,0.1,0.0
student,6,3.1135754883289337,0.8265681862831116,0.9331785626709461,0.863006629049778,0.7017193026840687,1.6780944243073463,0.0,0.9480266682803631,0.0,0.5020919162780046,0.9439368396997452,0.026250454247929156,0.004504005628405139,1.2911919429898262,0.0,0.1,0.0
student,7,3.0624140053987503,0.8248491287231445,0.906134843826294,0.8379683084785938,0.6816653497517109,1.6513628885149956,0.0,0.9456357173621655,0.0,0.5013751238584518,0.9451047331094742,0.03409835114143789,0.004492679989198223,1.2802862003445625,0.0,0.1,0.0
student,8,3.031825229525566,0.821786642074585,0.8898825943470001,0.8233196176588535,0.6656297072768211,1.6353852599859238,0.0,0.9443645626306534,0.0,0.5031461380422115,0.9470192268490791,0.03879286046139896,0.004460227588424459,1.2748501747846603,0.0,0.1,0.0
