tag,valid_f1_head,valid_acc_head,valid_mae,valid_f1_theta,test_f1_head,test_acc_head,test_mae,desc,mae_ok,delta_f1
c06_kd05,0.48069388771882143,0.5123626373626373,0.7498388041186934,,0.5239337358368319,0.5598349381017882,0.8545932476082112,蒸馏权重 0.3 → 0.5,True,0.0025263518228713644
c00_baseline,0.47816753589595007,0.5206043956043956,0.7496482350704885,,0.532559017705609,0.5804676753782668,0.853761360710269,E1 配方（对照，必须参与）,True,0.0
c04_dropout50,0.4760428116194393,0.5054945054945055,0.7572951830787953,,0.5148343394359811,0.5529573590096286,0.8652098737362429,dropout 0.35 → 0.50,True,-0.002124724276510781
c02_enc1,0.4536796536796537,0.4532967032967033,0.7817404243255873,,0.4720126959422338,0.4786795048143054,0.8960033771690837,编码层数 2 → 1（轻量化）,False,-0.024487882216296386
c05_nokd,0.44785509268889,0.5082417582417582,0.7498266754344434,,0.520865489514284,0.579092159559835,0.8525523136189256,关闭蒸馏（检验蒸馏贡献）,True,-0.030312443207060058
c07_h128_e4,0.4383921846837448,0.5192307692307693,0.7947684485736497,,0.4650407736022453,0.5598349381017882,0.9103853538032862,容量 + 专家数同时上调,False,-0.03977535121220527
c01_hidden128,0.3894529674172687,0.5247252747252747,0.7385317161832783,,0.4260669345057611,0.5832187070151307,0.8276354625072981,容量：hidden 96 → 128,True,-0.08871456847868137
c03_exp4,0.384408000066363,0.5192307692307693,0.7981170654158711,,0.39808154769765064,0.5557083906464925,0.9139424692250102,专家数 2 → 4,False,-0.09375953582958707
