phase,epoch,loss,valid_mae,reg,cls,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd,kd,kd_logit,kd_reg,kd_rel
teacher,1,2.9726308981577554,1.4698456525802612,1.4618672529856365,0.9468174576759338,0.0,0.9279229243596395,0.08434033145507176,0.0056899624566237135,5.496960481007894,,,,,,,
teacher,2,2.4584798018137612,1.4614225625991821,1.109973152478536,0.8117127815882365,0.0,0.9089575409889221,0.04929926867286364,0.005408167528609435,5.496142387390137,,,,,,,
teacher,3,2.367161194483439,1.461404800415039,1.1043394406636555,0.7450541655222574,0.0,0.8927446603775024,0.028140954052408535,0.004799418927480777,5.492514451344808,,,,,,,
teacher,4,2.343104600906372,1.4591141939163208,1.1157528162002563,0.7222453951835632,0.0,0.8793817559878031,0.01711288622270028,0.004098523252954085,5.480974833170573,,,,,,,
teacher,5,2.2814887364705405,1.4588751792907715,1.082647164662679,0.7016576727231344,0.0,0.8692144155502319,0.012105483251313368,0.003766994380081693,5.464040915171306,,,,,,,
teacher,6,2.2593671480814614,1.4536606073379517,1.0755298535029094,0.6925352414449056,0.0,0.8602970441182455,0.009846028871834278,0.0036136824637651443,5.442363897959392,,,,,,,
teacher,7,2.2484970887502036,1.442673683166504,1.0736499627431233,0.6880888342857361,0.0,0.8526211778322855,0.008990271327396234,0.0035370223534603915,5.41840140024821,,,,,,,
teacher,8,2.2267404397328696,1.4224141836166382,1.0597337285677593,0.6835367480913798,0.0,0.8461856047312418,0.009390051166216532,0.0035012185107916594,5.3931474685668945,,,,,,,
teacher,9,2.191669305165609,1.3790992498397827,1.0381301641464233,0.6715849240620931,0.0,0.8412491281827291,0.011747416419287523,0.0036237940657883883,5.364410559336345,,,,,,,
teacher,10,2.137418190638224,1.2912228107452393,1.0032065113385518,0.6515277425448099,0.0,0.8376603722572327,0.017289390166600544,0.0038250742945820093,5.3296529452006025,,,,,,,
teacher,11,2.0390069087346396,1.1260006427764893,0.9354656338691711,0.6181371212005615,0.0,0.835085948308309,0.02599969319999218,0.003941684340437253,5.2890472412109375,,,,,,,
teacher,12,1.8517744938532512,0.8362618684768677,0.800570527712504,0.5617220401763916,0.0,0.833480437596639,0.03649615620573362,0.004054562499125798,5.246633052825928,,,,,,,
teacher,13,1.5507906675338745,0.40943312644958496,0.5763274331887563,0.47863104939460754,0.0,0.8326449592908224,0.05079245443145434,0.004170156394441922,5.202836195627849,,,,,,,
teacher,14,1.2057397762934368,0.29771488904953003,0.32191282014052075,0.3807883858680725,0.0,0.8327768445014954,0.06583349655071895,0.004260386805981398,5.160319805145264,,,,,,,
teacher,15,1.0249421993891399,0.6277744174003601,0.22242728372414908,0.2926948070526123,0.0,0.8331562479337057,0.07982359081506729,0.004283519151310126,5.11884069442749,,,,,,,
teacher,16,0.9570064544677734,0.535660982131958,0.20830877621968588,0.2370872994263967,0.0,0.832709272702535,0.0847668672601382,0.0041193159607549506,5.081263542175293,,,,,,,
teacher,17,0.7494030396143595,0.28167209029197693,0.026980378820250433,0.2118618388970693,0.0,0.8312978943188986,0.08493508646885554,0.003914035235842069,5.048733711242676,,,,,,,
teacher,18,0.5498496691385905,0.21191391348838806,-0.16313975056012472,0.20730455219745636,0.0,0.829736053943634,0.07748120278120041,0.0037178621472169957,5.021730264027913,,,,,,,
teacher,19,0.4653024474779765,0.24970892071723938,-0.2341134399175644,0.19697088996569315,0.0,0.828406810760498,0.07299207150936127,0.00363131333142519,4.992989699045817,,,,,,,
teacher,20,0.39612417419751483,0.2384309470653534,-0.29104506969451904,0.18619364003340402,0.0,0.827694813410441,0.07131639371315639,0.003596000994245211,4.967198530832927,,,,,,,
teacher,21,0.29635392129421234,0.20849871635437012,-0.3791571458180745,0.1756869504849116,0.0,0.8273787697156271,0.06979407866795857,0.0035398451145738363,4.946776072184245,,,,,,,
teacher,22,0.1943551003932953,0.21049290895462036,-0.4703954557577769,0.1644196460644404,0.0,0.8273434042930603,0.07116927951574326,0.0035907871400316558,4.9279177983601885,,,,,,,
teacher,23,0.12049030015865962,0.2238878309726715,-0.5341382424036661,0.15442976852258047,0.0,0.8271399339040121,0.07142195602258046,0.0035766353054593005,4.912952264149983,,,,,,,
teacher,24,0.09016021961967151,0.2293783724308014,-0.5601660410563151,0.14996599654356638,0.0,0.8268526792526245,0.07229917248090108,0.0035735818867882094,4.899755160013835,,,,,,,
teacher,25,0.04928149531284968,0.22120216488838196,-0.5959949096043905,0.14467163383960724,0.0,0.8269894123077393,0.07284826288620631,0.003589928848668933,4.889097372690837,,,,,,,
teacher,26,0.012713287646571795,0.2104719579219818,-0.6317039529482523,0.14420834680398306,0.0,0.8268444736798605,0.07234875112771988,0.003578959653774897,4.882279713948567,,,,,,,
teacher,27,-0.00958651676774025,0.20530055463314056,-0.6555640498797098,0.1463282903035482,0.0,0.8266839583714803,0.07146790623664856,0.0035914017353206873,4.877760887145996,,,,,,,
teacher,28,-0.02252984295288722,0.20293785631656647,-0.6666347980499268,0.14481715361277261,0.0,0.8265496691068014,0.07099260886510213,0.0035402937792241573,4.874652862548828,,,,,,,
teacher,29,-0.031630138556162514,0.20200049877166748,-0.6764515240987142,0.14550266166528067,0.0,0.8266940315564474,0.07092566539843877,0.0035624226244787374,4.872766653696696,,,,,,,
teacher,30,-0.030359247078498203,0.2017935961484909,-0.6753995418548584,0.1456614832083384,0.0,0.8266196449597677,0.07111488034327824,0.003584532688061396,4.871929168701172,,,,,,,
student,1,8.219344139099121,1.458516001701355,1.3491981029510498,0.9828139543533325,0.40076521039009094,0.9126124183336893,0.09209424008925755,0.007583133565882842,5.5281745592753095,0.0,0.2,1.0,4.9251400629679365,1.7545620600382488,3.1461307207743325,0.02444742868343989
student,2,7.172637462615967,1.4576520919799805,1.1124165455500286,0.8325296640396118,0.34446679552396137,0.8947715361913046,0.06621565793951352,0.007180942377696435,5.535452842712402,0.0,0.2,0.951229424500714,4.56649653116862,1.398640791575114,3.1435964107513428,0.024259576573967934
student,3,6.520101706186931,1.4437859058380127,1.0859628518422444,0.753224790096283,0.3087114592393239,0.8828808267911276,0.05399025479952494,0.006752254907041788,5.537729581197103,0.0,0.2,0.9048374180359595,4.249397436777751,1.1338733434677124,3.0911943912506104,0.024329552426934242
student,4,6.081033865610759,1.4307564496994019,1.0975708961486816,0.7199106812477112,0.27914952238400775,0.8748792211214701,0.04817664374907812,0.006411852315068245,5.536545912424724,0.0,0.2,0.8607079764250578,4.024946292241414,0.9674688378969828,3.033365805943807,0.02411169931292534
student,5,5.771287759145101,1.4158668518066406,1.0879879395167034,0.6994257569313049,0.26812677582105,0.869828442732493,0.04501605158050855,0.006154039409011602,5.534290631612142,0.0,0.2,0.8187307530779818,3.9083728790283203,0.8782470027605692,3.006157954533895,0.023967800041039784
student,6,5.468932628631592,1.4007174968719482,1.0614909728368123,0.6864022016525269,0.2582540114720662,0.8669518033663431,0.044014440228541694,0.0059271374096473055,5.532088915506999,0.0,0.2,0.7788007830714049,3.786613861719767,0.8304182092348734,2.93253231048584,0.02366343637307485
student,7,5.237778504689534,1.3916629552841187,1.0445512930552165,0.6799034078915914,0.25225700934727985,0.8654722372690836,0.043813479443391166,0.0057939958448211355,5.53042475382487,0.0,0.2,0.7408182206817179,3.7097126642862954,0.8072366317113241,2.8788821697235107,0.023593982060750324
student,8,5.062424977620442,1.3889180421829224,1.0356700420379639,0.6772114634513855,0.24948353072007498,0.8648731112480164,0.04410203670461973,0.005762335378676653,5.529606819152832,0.0,0.2,0.7046880897187134,3.6716887950897217,0.7988492846488953,2.8491483529408774,0.023691164950529735
