phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd
teacher,1,2.667192154460483,0.7820863723754883,0.7000365842271734,0.6375456209535952,0.6249095714754529,1.1121703717443678,0.37666916019386715,0.87292515679642,0.04959206048537184,0.006946209231736483,1.3584320214059618,,,
teacher,2,2.513810219588103,0.7633180618286133,0.6925069369651653,0.6314036790971402,0.6110325704018275,1.107585118876563,0.27649412166189263,0.823284359993758,0.019096257596242207,0.005732404154345945,1.3167530121626678,,,
teacher,3,2.3131439222229853,0.650137722492218,0.5996996683103067,0.5495683788149445,0.5013128905384628,1.0494344974005665,0.23285635146829817,0.8002527952194214,0.03183522616961488,0.005496985520477648,1.2360915541648865,,,
teacher,4,2.0694362256262036,0.6124202609062195,0.49014455300790294,0.4546320449422907,0.3551250729295943,0.9357980876057236,0.21970351840610858,0.788208951552709,0.030799981172162073,0.0053493918040422375,1.1610899280618738,,,
teacher,5,2.0088860039357788,0.611706554889679,0.465155185924636,0.43276377850108677,0.3239140585064888,0.918481464739199,0.21007923009218993,0.7776416716752229,0.025223460979759693,0.005141744355636614,1.1166685709246882,,,
teacher,6,1.9555553793907166,0.6168591380119324,0.44251502167295526,0.41326804900610886,0.2924697346709393,0.9043664810834108,0.1970809993368608,0.7728079436001954,0.023828219587880152,0.004978321673762467,1.0785651648486103,,,
teacher,7,1.929021574832775,0.5975340008735657,0.43302212324407363,0.4055774951422656,0.27444626080493134,0.8955390409187034,0.19155584717238391,0.7696432460237432,0.022378728207614686,0.004811184273825752,1.0487984904536494,,,
teacher,8,1.8853017180054277,0.5874695777893066,0.4088595575756497,0.38443203629166994,0.2442751985422715,0.8824845453103384,0.18938651156646233,0.7624899524229544,0.02155498087544132,0.004712145982517136,1.0192534879401878,,,
teacher,9,1.8572373059060838,0.5877167582511902,0.39597458268205327,0.37369771370733224,0.22276869909492908,0.872003048658371,0.18751181744866902,0.7582192608603725,0.020865099073422176,0.004607314657833841,0.990202968871152,,,
teacher,10,1.8647600611050923,0.5840173363685608,0.4106620944760464,0.38610809820669667,0.24553996131375985,0.8692193892267015,0.18477301547924677,0.7554907125455362,0.020866422448307276,0.004581282738837655,0.9636345472600725,,,
teacher,11,1.8253830759613603,0.5881160497665405,0.39112296838451316,0.36938697706770013,0.2173599055795758,0.860530952612559,0.17519770866190945,0.7531729296401695,0.020435706160410686,0.004542289569077117,0.94559723911462,,,
teacher,12,1.8048967410016943,0.5887070894241333,0.3779269159874982,0.35851752737330067,0.1940938970763926,0.854097142263695,0.17505524197110423,0.7515755008768152,0.02100172411236498,0.004489433481702926,0.9284110168615977,,,
teacher,13,1.8237601077115093,0.5916339159011841,0.3944653330577744,0.37258202334245044,0.2188330898578796,0.8601491451263428,0.17250860096127899,0.7499990882696929,0.02042682941451117,0.004512355007507183,0.9167870901249073,,,
teacher,14,1.8009918199645147,0.5883160829544067,0.3802037087303621,0.36067548559771645,0.19528222608345527,0.8510877147868827,0.17253196018713493,0.7512635025713179,0.020394351954261463,0.004509405026005374,0.9084821829089412,,,
