策略,note,valid_MAE,valid_ACC,valid_MacroF1,test_MAE,test_ACC,test_MacroF1,valid_ACC_theta,test_ACC_theta
V0 概率平均（现状）,,0.5851277726751005,0.5892857142857143,0.5812704006608875,0.6346195193291501,0.6327372764786795,0.6158087193999344,0.5741758241758241,0.6148555708390646
V1 logit 平均,,0.5851277726751005,0.5879120879120879,0.5804150093613848,0.6346195193291501,0.6368638239339752,0.6214229983241232,0.5741758241758241,0.6148555708390646
V2 logit 平均 + 先验校正,τ*=0.1（valid 选）,0.5851277726751005,0.5892857142857143,0.5865210860976693,0.6346195193291501,0.6176066024759285,0.6082443084641292,0.5741758241758241,0.6148555708390646
V3 logit 平均 + top-2 ckpt,按 valid MAE 选,0.5849062578911268,0.592032967032967,0.584498848747886,0.6340216461907268,0.6313617606602476,0.6131195250740165,0.5755494505494505,0.6148555708390646
V4 TTA（4 视图）,裁剪 min_keep=0.85,0.5865489914207361,0.592032967032967,0.5877115196215735,0.6357573757282468,0.6203576341127923,0.6085952618790246,0.5741758241758241,0.6162310866574966
