phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd,kd,kd_logit,kd_reg,kd_rel
teacher,1,2.6564015635737666,0.7869699597358704,0.6852468097651446,0.6241002259431062,0.6114657990358494,1.1105616534197773,0.3743022327069883,0.8782636810232092,0.05906023123060112,0.009159067154137624,1.304940473150324,,,,,,,
teacher,2,2.5107140982592546,0.7672118544578552,0.6864800144124914,0.6260203045827372,0.6045970607686926,1.112085552127273,0.27538180627204756,0.8246149928481491,0.022079491815357295,0.006243260034049551,1.0297822875005227,,,,,,,
teacher,3,2.304057761474892,0.6676709651947021,0.5898617621925142,0.5418228633977749,0.48038898774043276,1.052141507466634,0.23716128341577672,0.7997824560712885,0.031362999954985246,0.005647344049066305,0.649682249184008,,,,,,,
teacher,4,2.093814450281638,0.6286546587944031,0.5087391248455754,0.4706684218512641,0.3807070470518536,0.9486237753320623,0.2214151778154903,0.7868723692717375,0.02896657620591146,0.005413805505398799,0.44100096656216514,,,,,,,
teacher,5,1.999920337288468,0.6143370866775513,0.4686057639342767,0.43576754519232996,0.3283822072876824,0.9143489466773139,0.20915278323270656,0.7787174494178207,0.024835076769468962,0.005320940270192093,0.33761167967761,,,,,,,
teacher,6,1.962229777265478,0.6105273962020874,0.44985898225395765,0.4194164783866317,0.3044250621287911,0.9092337643658673,0.19997393864172477,0.7723152648519587,0.023426504167555658,0.005233081437095448,0.26756819199632714,,,,,,,
teacher,7,1.9395545698978283,0.6036575436592102,0.4431658144350405,0.41419444536721267,0.2897137076490455,0.9021198826807516,0.1956924213855355,0.7655564027803915,0.022097197982172172,0.005122104668299909,0.2188589561868597,,,,,,,
teacher,8,1.8899789187643263,0.5975425839424133,0.41824235298015455,0.39223461515373653,0.26007737692755956,0.8868962471131925,0.1890796767892661,0.7611832243424875,0.021615035038579394,0.005061774816433036,0.18306254319570683,,,,,,,
teacher,9,1.878268791569604,0.5975401401519775,0.41076730160663527,0.38564671979596216,0.2512058381129194,0.8902244457492122,0.18481580443956233,0.7561755964049587,0.02058790393035721,0.004972383431676362,0.15932942761315239,,,,,,,
teacher,10,1.8676397094020136,0.6037139296531677,0.41053418428809557,0.38527749740967043,0.25256686471402645,0.8827564396240093,0.18354336944995103,0.7536346857194547,0.02019203776769616,0.004916174940902878,0.14342583771105166,,,,,,,
teacher,11,1.8488541973961725,0.5987990498542786,0.40497990394080124,0.38146174588689097,0.23518158519571578,0.8771149527143549,0.17701127076590503,0.7514299673062784,0.020543713001879276,0.00488479823494951,0.13188407211392014,,,,,,,
teacher,12,1.8132168275338632,0.5973829627037048,0.3902031605442365,0.3691087442415732,0.21094416118123466,0.8597843039918829,0.17446663506605006,0.7498151869685562,0.020343095857512067,0.00489395621439649,0.12366177928116587,,,,,,,
teacher,13,1.8267361080204998,0.598006546497345,0.39170048468642765,0.36996360426699676,0.21736879188015504,0.8718174442096993,0.17479757992205797,0.7493531858479535,0.020304904629786808,0.004822001990827697,0.11805583384853822,,,,,,,
teacher,14,1.811074482070075,0.5987975001335144,0.38883115378794847,0.3673439575014291,0.21487196383100968,0.8599816704237903,0.17460579480285998,0.7484728197256724,0.019735463549969374,0.004804590268543473,0.11494355621161284,,,,,,,
teacher,15,1.8151793215009902,0.5992917418479919,0.39106028416642435,0.36944044408974824,0.2161983847618103,0.8610796420662491,0.17562296269116578,0.7475801750465676,0.02019604512800773,0.004801215897141783,0.1127710178218506,,,,,,,
teacher,16,1.8182230900835108,0.5994855761528015,0.3950842588588043,0.3726609619679274,0.2242329848792266,0.8645011926138843,0.1718078214261267,0.7467381711359378,0.01990257405365507,0.004775398652310725,0.11217381694802532,,,,,,,
student,1,2.6453800996144614,0.7858051657676697,0.6792261381116178,0.6189656975092711,0.6026044217524705,1.1103007197380066,0.3687499424925557,0.8701676295863258,0.06764259210063352,0.00882158584513322,1.378739842662105,0.0,0.1,0.0,,,,
student,2,2.498216651104115,0.7136746644973755,0.6818212850226296,0.6215119119043704,0.6030937245598545,1.106006540634014,0.27267419160516176,0.8175894364162728,0.024826539852828892,0.006235448548708249,1.338893245767664,0.0,0.1,0.0,,,,
student,3,2.2005242043071322,0.6461710929870605,0.5393057150973214,0.4973698826851668,0.41935830535712065,0.9905119648686161,0.237610742173813,0.7982450800913351,0.03746650392120635,0.005727753741666675,1.2376117750450417,0.0,0.1,0.0,,,,
student,4,2.136230777811121,0.6146196722984314,0.4760039183828566,0.4417181285443129,0.3428578718944832,0.9333330205193272,0.2224654789876055,0.7843546701802148,0.03082402711044307,0.0054190584492904165,1.119361870818668,0.0,0.1,0.3,0.27645290091081903,0.10673207900038471,0.16910648483920981,0.006143410223389596
student,5,2.052679732993797,0.6165271401405334,0.4531772280180896,0.42176196034307833,0.3141526429465524,0.9128403453915207,0.21349925271890782,0.7777977530603055,0.02738230261537764,0.005296727150885595,0.99360140937346,0.0,0.1,0.28065209550948533,0.20662065926525328,0.0802394768430127,0.12583167906160708,0.00549502463804351
student,6,1.9808407381728843,0.598606288433075,0.4247914952122503,0.3973764932403962,0.2741500457955731,0.8997491487750301,0.2066135111230391,0.7706047417940917,0.024790077263282403,0.005098618799820542,0.846033920844396,0.0,0.1,0.26255199571288423,0.15608158886984544,0.05975922532552094,0.09588283108961251,0.0043953080910594305
student,7,1.9544949619858354,0.6002503037452698,0.4257332356991591,0.3988699421838478,0.2686329419138255,0.8906440525143234,0.19732011164780017,0.765555344246052,0.023537105742703984,0.0049397465686693235,0.7044178203300193,0.0,0.1,0.24561922592339452,0.1495700252621814,0.056124441498131665,0.09300070419838583,0.004448797287531542
student,8,1.9140206928606387,0.604895293712616,0.4111597549032282,0.3866584775624452,0.24501277161417184,0.8803989059395261,0.1919302443663279,0.7598702333591603,0.022958415422450612,0.004824369326578798,0.571178439590666,0.0,0.1,0.2297785015093946,0.13488420616421434,0.05093244166561851,0.08357994672324923,0.003718183251934264
student,9,1.8969546401942219,0.5965895056724548,0.39940567290479384,0.3761910283593116,0.2321464527329361,0.8760681328950105,0.1933285555353871,0.7558261067778976,0.02163159091853433,0.004710449802654761,0.47219339896131446,0.04,0.2,0.21495939317213678,0.15047617546386188,0.05574411188286764,0.09433690631003291,0.003951564870981706
student,10,1.874594807624817,0.5971900224685669,0.3943280263079537,0.37254053188694847,0.21787495274717608,0.8711490962240431,0.1885330359692927,0.7512745448836574,0.021845884879844055,0.004669786120454471,0.395179925693406,0.04,0.2,0.20109601381069178,0.13793280729334112,0.05203882079674966,0.08551620485054122,0.0037778199361026862
student,11,1.8577274371076513,0.6024715900421143,0.39061785240968067,0.36913279361195034,0.21485058404505253,0.8629871121159306,0.1844123505331852,0.7503565086258782,0.02094427830781098,0.00456536465531422,0.3358253654506471,0.04,0.2,0.18812672558191681,0.15106195104480893,0.05752263506184573,0.09314165004805007,0.003976661558866639
student,12,1.8375261845412079,0.6006816625595093,0.39248736451069516,0.3715907451179292,0.20896618395905803,0.8495171014909391,0.18224014893726068,0.7461582234612217,0.02097548580624991,0.00446355407540169,0.2902079059018029,0.04,0.2,0.17599386585300955,0.13966882946314635,0.05397871836881946,0.0853483883181104,0.003417244357815771
student,13,1.8192794565801267,0.6026701927185059,0.3741670490966903,0.3553574435688831,0.1880960580892861,0.8548216036072483,0.17954718680293472,0.744990657877039,0.02088500488618458,0.004463878132540871,0.25773509012328255,0.04,0.2,0.16464349082820795,0.13967448535064855,0.05462344256402166,0.08470176788115943,0.0034927452560859144
student,14,1.7905745462135032,0.6154292821884155,0.36633422087740014,0.34928253017089983,0.17051692095723142,0.8402020578031186,0.17826300335151177,0.7413007318973541,0.02052014607384249,0.004426326939008302,0.2349708323125486,0.04,0.2,0.1540251357097776,0.1318092838757568,0.05295251140853873,0.078542017136459,0.0031475663741326165
