归一化,π_文本,π_语音,π_视觉,与样本级ΔMAE秩相关,与数据集级ΔMAE秩相关
softmax|φ|,0.462,0.2627,0.2754,1.0,1.0
ReLU 归一,0.5021,0.1318,0.1463,1.0,1.0
