分组,样本数,π熵,π_文本,主模态为文本占比,置信度,忠实性,充分性偏差
预测正确,453,1.0137,0.4891,0.9404,0.6771,0.0032,0.2229
预测错误,275,1.0673,0.4173,0.9018,0.5691,-0.0024,0.1422
