exp,seed,theta,primary,valid_mae,valid_pearson,valid_ccc,valid_acc_theta,valid_f1_theta,valid_acc_head,valid_f1_head,test_mae,test_pearson,test_ccc,test_acc_theta,test_f1_theta,test_acc_head,test_f1_head
q2,42,0.30000000000000004,theta,0.5872868737001177,0.6610416711862573,0.6161867456850547,0.6195054945054945,0.6082276940007105,0.5961538461538461,0.586164868997557,0.6520592928178701,0.6646298016501582,0.6130366022562368,0.6148555708390646,0.5917768249010908,0.6134800550206327,0.5934617008470998
q2v3,42,0.45,head,0.5874322929961996,0.6535577251317078,0.5994675191936684,0.5728021978021978,0.558933992520815,0.5975274725274725,0.5851447954208183,0.6444313198973667,0.664631001058483,0.6085042323831183,0.5887207702888583,0.5701753184786059,0.624484181568088,0.6016016056143051
q2v3,43,0.35000000000000003,theta,0.5972702360384494,0.6433308128234015,0.6086246246558783,0.5906593406593407,0.5766090776957609,0.5810439560439561,0.5760972050405292,0.6459216769103171,0.6611773746613249,0.6252587681350564,0.6107290233837689,0.5897332162919597,0.6121045392022009,0.6002690164809034
q2v3,44,0.45,theta,0.5965894481159522,0.6467291653217826,0.6143973020011524,0.5851648351648352,0.5785169909492579,0.5865384615384616,0.5835919800810841,0.6432288509103095,0.6663692092974467,0.6344650034738107,0.5983493810178817,0.5866588518419672,0.624484181568088,0.6120062090618198
