实验,种子数,valid_MAE,valid_MAE_std,valid_ACC,valid_ACC_std,valid_MacroF1,test_MAE,test_MAE_std,test_ACC,test_ACC_std,test_MacroF1
完整模型（MRF-Net）,3,0.5937639923835337,0.0054939676826069985,0.5883699633699634,0.008392995778307369,0.5816113268474772,0.6445272825726645,0.0013489753863088136,0.6203576341127923,0.007147389852416258,0.6046256103856761
A0 朴素融合（干净训练、无指示）,1,0.6009736011229496,,0.6002747252747253,,0.5932281724742269,0.6538339989462245,,0.6107290233837689,,0.5929380083972688
A1 朴素融合 + 掩码指示 + 缺失注入,1,0.5990186491520605,,0.5796703296703297,,0.5782159651856295,0.65854171257174,,0.6079779917469051,,0.5949571094633531
A2 去掉掩码指示,3,0.5935044562364774,0.006014645037717714,0.5883699633699634,0.012463972150930593,0.5833995710867351,0.6432553544906999,0.0007935254830712589,0.6153140761118753,0.006500434148903153,0.601183127555018
A3 去掉跨模态重建损失,1,0.5824551190668429,,0.5961538461538461,,0.5868141854498763,0.6376574699828744,,0.6162310866574966,,0.5976156267783267
A6 单专家（去掉动态专家）,1,0.594157929112623,,0.5741758241758241,,0.5732921101118357,0.6475300458881189,,0.6189821182943603,,0.6041109579921624
A7 去掉教师蒸馏,1,0.5913021428767045,,0.5892857142857143,,0.5786834804790051,0.6487301415815038,,0.6148555708390646,,0.5963201403909958
A9 去掉缺失课程学习,1,0.5884541457107644,,0.6016483516483516,,0.5897798657664702,0.6390854586184824,,0.6203576341127923,,0.5980110180802685
