实验,来源,干净基线,text/middle/ρ=0.3,text/random/ρ=0.3,text+audio/middle/ρ=0.3,text+audio/random/ρ=0.3,最大退化ΔMAE,相对恶化%
完整模型（MRF-Net）,sweep_valid_ens.csv,0.5851277726751005,0.5955854456577991,0.6012930101471964,0.5950876788980907,0.5997126098689598,0.01616523747209586,2.7626850453861143
A0 朴素融合（干净训练、无指示）,sweep_valid_s42.csv,0.6009735134967531,0.6205280570589661,0.6236645655865156,0.6178549602640547,0.6240137873017895,0.02304027380503637,3.8338251665996013
A1 朴素融合 + 掩码指示 + 缺失注入,sweep_valid_s42.csv,0.5990144884224039,0.6222217252355192,0.6250281508060193,0.6199132004230805,0.6238134349542823,0.026013662383615355,4.342743437162314
A2 去掉掩码指示,sweep_valid_ens.csv,0.5847899236819952,0.5940855061221855,0.5993024294171386,0.5936010142330626,0.5980505668587364,0.0145125057351434,2.4816613876943614
A3 去掉跨模态重建损失,sweep_valid_s42.csv,0.5824476843443955,0.5967587812875326,0.6032219962575115,0.5968160498426757,0.5991580658080568,0.02077431191311596,3.5667258144393816
A6 单专家（去掉动态专家）,sweep_valid_s42.csv,0.594173350033688,0.5990306719533771,0.6044809628216611,0.5984669232045065,0.6023072789290121,0.010307612787973097,1.7347820778883274
A7 去掉教师蒸馏,sweep_valid_s42.csv,0.591303895033159,0.5946190938312601,0.603827993231979,0.5944707427624163,0.6005161921135508,0.012524098198819944,2.118047640818875
A9 去掉缺失课程学习,sweep_valid_s42.csv,0.5884478300001349,0.5926370120730128,0.5993546073959506,0.5924904808954714,0.5977139316939308,0.010906777395815692,1.853482473682194
