model,name,clean_mae,clean_acc,clean_f1
ablate_a0_plain,A0 朴素融合（无缺失处理）,0.6009735465049744,0.6002747252747253,0.5932281724742269
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,0.5990144610404968,0.5796703296703297,0.5782159651856295
ours_s42,MRF-Net（单种子 42）,0.5862175822257996,0.625,0.6205111934447153
ens_top2,MRF-Net（B：42+43 集成，提交模型）,0.5866156220436096,0.6222527472527473,0.6158452245491158
