phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,cons,mag,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd
teacher,1,1.9821159442265828,0.7785469889640808,0.8368849290741814,0.7743320763111115,0.6255285292863846,1.1125236904179607,0.0,0.0,0.4832445438261385,0.9190251981770551,0.03277897386363259,0.0054328202925346515,1.3601441979408264,,,
student,1,1.9692131325050637,0.7754754424095154,0.820836040156859,0.7600825688353291,0.6075346944508729,1.1129000584284465,0.0,0.0,0.5261309036502132,0.946806420882543,0.03745260136201978,0.005806710484817072,1.3847386395489727,0.0,0.1,0.0
student,2,1.9429406347098175,0.7726574540138245,0.8145938664674759,0.7545248545982219,0.6006901029635359,1.1092217564582825,0.0,0.0,0.5592172499056216,0.9678675267431471,0.007629394695093787,0.0029583888331048743,1.3831137639504891,0.0,0.1,0.0
