phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,cons,mag,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd,kd,kd_logit,kd_reg,kd_rel
teacher,1,3.1877058656127364,0.7765490412712097,0.831936655221162,0.7703800753310874,0.6155658171132758,1.8158248707100197,0.0,1.00954755809572,0.48508210976918537,0.9214957345415045,0.03732898220833805,0.006069720692553178,1.3471222321192424,,,,,,,
teacher,2,3.077652997440762,0.7226492762565613,0.7971138142877154,0.7392438059603726,0.578700071407689,1.7992969795509621,0.0,0.9075239996115366,0.49731426658453765,0.9278628804065563,0.02541770537694295,0.003910886662736259,1.281590391088415,,,,,,,
teacher,3,2.7888334592183432,0.6549415588378906,0.6842709040200269,0.642422777083185,0.4184812692994321,1.608205763278184,0.0,0.9049910649105355,0.5093345857328839,0.9346080389287736,0.05923319269937498,0.004000931581551278,1.2244208123948839,,,,,,,
teacher,4,2.66941444962113,0.622014045715332,0.6321369117056882,0.5962464080916511,0.35890505821616564,1.5553363627857633,0.0,0.8960764363959983,0.5030558269332956,0.9312161229274891,0.039923495406077966,0.004276838300197765,1.18028015560574,,,,,,,
teacher,5,2.592627180947198,0.614635169506073,0.6155978248075202,0.5820863235879827,0.3351150097118484,1.4951482967094138,0.0,0.9019854609613065,0.5043423854642444,0.932142788613284,0.034529113693645704,0.004231773027977733,1.1507871526258964,,,,,,,
teacher,6,2.526470356517368,0.6026299595832825,0.5836068237269366,0.5541067758092174,0.2950004722785067,1.4636470410558913,0.0,0.8954411535351364,0.4888299090994729,0.9379159035506072,0.03626243566611299,0.004390009243420705,1.1169685588942633,,,,,,,
teacher,7,2.4749091775329024,0.5981233716011047,0.569655583412559,0.5423466899880657,0.2730889375994189,1.428590281142129,0.0,0.8894739636668453,0.48885522396476183,0.9345492113519598,0.03747997719242617,0.004430460001997373,1.0971073221277308,,,,,,,
teacher,8,2.437392327520582,0.6056599617004395,0.5483797137384061,0.5240419573254056,0.24337752723928402,1.4153363660529807,0.0,0.8853730195098453,0.4879244367281596,0.9314148348790628,0.03600603066108845,0.004386580911361509,1.0793421422993694,,,,,,,
teacher,9,2.430673071631679,0.6018440127372742,0.5448743413995814,0.5209680080965713,0.23906333992878595,1.4143617440153051,0.0,0.8804964224497477,0.4864348465645755,0.9302955578874659,0.0367482832322518,0.004353418911772745,1.063792970445421,,,,,,,
teacher,10,2.426839726942557,0.5971116423606873,0.5477025817941736,0.5235910299751494,0.24111550411692373,1.4078526894251506,0.0,0.8814206498640554,0.48902107940779793,0.931420588934863,0.035724735680829595,0.004329111866859926,1.0547194767881323,,,,,,,
teacher,11,2.4365004433525934,0.5963508486747742,0.5517774323622385,0.5264163315296173,0.253611010050884,1.4123918855631794,0.0,0.8831919067435794,0.4851755886166184,0.9314986809536263,0.036168833228724974,0.0043296738812286,1.0485921435885959,,,,,,,
