phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,cons,mag,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd
teacher,1,1.9819397352359913,0.7784260511398315,0.8367137842708163,0.7741787334283193,0.6253504907643354,1.1125051136370059,0.0,0.0,0.4910561917004762,0.919410385467388,0.03279933762840099,0.005428816165982021,1.3606779707802668,,,
student,1,1.9692668384975858,0.7752653956413269,0.8208580624174189,0.7601053941029089,0.6075266872843107,1.1128956454771537,0.0,0.0,0.5262747738096449,0.9468874202834235,0.037517465823502454,0.005810726546096029,1.3849040556837011,0.0,0.1,0.0
student,2,1.942950169245402,0.77266925573349,0.8145850725747921,0.7545157599228399,0.6006930909223027,1.1092304101696722,0.0,0.0,0.5592914069140399,0.9679199092917972,0.007637911174377358,0.0029627880322988386,1.3834338188171387,0.0,0.1,0.0
