phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,cons,mag,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd,kd,kd_logit,kd_reg,kd_rel
teacher,1,3.1108403161719993,0.7768598198890686,0.8321143079687048,0.7705467177761925,0.6156759400058676,1.7390281580112599,0.0,1.0093457180040855,0.4863627514353505,0.9217876030339135,0.03704512105495841,0.00607981071031342,1.3462551986729656,,,,,,,
teacher,2,3.003394850978145,0.726865828037262,0.7990146058577078,0.7408340170427605,0.5818059323010621,1.7245586845609877,0.0,0.9077048069900937,0.5083293274596885,0.9287738192964483,0.022639020139144525,0.003844264209166997,1.2727532607537728,,,,,,,
teacher,3,2.7106863878391407,0.653426468372345,0.6796552491960702,0.6383675102282453,0.41287736080724885,1.534685829171428,0.0,0.9044942668190709,0.5011108456938355,0.9361424026665864,0.06021304345793194,0.003913154773828056,1.203502118587494,,,,,,,
teacher,4,2.591243779217755,0.6165031790733337,0.6305157360103395,0.5942108973308846,0.3630484004539472,1.4802340489846688,0.0,0.8968646029631296,0.4977911363045375,0.9319290894049185,0.037032822560932904,0.004138031275942922,1.1476277554476704,,,,,,,
teacher,5,2.496135499742296,0.6128953099250793,0.6001581439265499,0.5679563156984471,0.3220182541343901,1.415567871597078,0.0,0.9016949975932086,0.49223964468196585,0.9324727654457092,0.03274670815854161,0.004150752357586667,1.1113232528721844,,,,,,,
teacher,6,2.468617527573197,0.5980764627456665,0.585675812429852,0.5557474698181506,0.2992834175626437,1.405412115432598,0.0,0.8963602593651524,0.49908553781332793,0.9425363816596843,0.03300826589542406,0.004281460997407083,1.0704624410028811,,,,,,,
teacher,7,2.4177521687966808,0.5950210094451904,0.5745211089098895,0.5458148877929758,0.28706221082420263,1.3676666661545083,0.0,0.8920069656990193,0.4850844304870676,0.9351248332747707,0.033917373322226385,0.004268039199006226,1.0468224463639435,,,,,,,
teacher,8,2.3715602225727506,0.6012638807296753,0.547543857936506,0.5226347656161697,0.24909093217165382,1.3512933408772503,0.0,0.8872368114965933,0.48585165319619356,0.931218483933696,0.03348954215093895,0.004256793151230172,1.0231455917711612,,,,,,,
teacher,9,2.3468797913304082,0.5996529459953308,0.5367050961487823,0.5135797327039419,0.23125364093316925,1.3400088636963456,0.0,0.8816040467332911,0.4979191990914168,0.9318184278629444,0.034433956533946375,0.004213529850218307,1.0040059895427138,,,,,,,
teacher,10,2.366725374151159,0.5937016010284424,0.5493764126742328,0.5245937004133507,0.24782708028538358,1.347447684517613,0.0,0.882596907792268,0.48828015007354597,0.9321494168705411,0.0331719980954572,0.004188704131929962,0.9922463783511409,,,,,,,
teacher,11,2.3732291724946766,0.5932863354682922,0.5536200348977689,0.5282222711377673,0.25397762369916393,1.3488989604843988,0.0,0.8842115656093315,0.497540561137376,0.9336743763199559,0.03328052884036744,0.004196491868545611,0.9865878997025667,,,,,,,
teacher,12,2.3487366945655257,0.5932782292366028,0.5348310614073718,0.5122934292863917,0.22537631927816956,1.3449606520158273,0.0,0.8809884676226863,0.49843037294016945,0.9335818500430496,0.033040672161236954,0.004217391971636702,0.9821704615045477,,,,,,,
student,1,3.0610552849592985,0.7768097519874573,0.8136979373240912,0.7534023099751385,0.602956258588367,1.7504027441695884,0.0,0.917053774551109,0.49728774969224576,0.9314677759453103,0.04287951079162734,0.006575878131789742,1.370003009283984,0.0,0.1,0.0,,,,
student,2,3.033737990591261,0.7767131328582764,0.8233514141153406,0.7621886818497269,0.6116273011322375,1.736236203599859,0.0,0.907708223219271,0.5133084544429073,0.9399640096558465,0.011575153959846055,0.0036054987382764616,1.2705926210791976,0.0,0.1,0.0,,,,
student,3,2.840056684282091,0.7633951902389526,0.7405154407024384,0.6909167253308826,0.4959871619939804,1.6138609426992911,0.0,0.9054355477845227,0.5167064114853188,0.9461881496288158,0.043291510082781315,0.003639272185628889,0.9497144056691064,0.0,0.1,0.0,,,,
student,4,2.6814965892721108,0.717513382434845,0.6325326837875225,0.5964998406944452,0.36032841861661935,1.4749753011597528,0.0,0.8949087659517924,0.5115454423206823,0.9457239883917349,0.035415601916611195,0.003530285726473839,0.6834504571225908,0.0,0.1,0.3,0.33408926206606404,0.1427342196305593,0.19064461798579604,0.007104249050219853
student,5,2.5311676175506026,0.6668465733528137,0.5955763238447683,0.5644023721968686,0.31173950130188904,1.409237073527442,0.0,0.8961530526479086,0.5103849409906952,0.9446107138086248,0.03026927317734118,0.0035469732333526568,0.5486237931030767,0.0,0.1,0.28065209550948533,0.19911964348068945,0.08758280233100608,0.11108493508288154,0.004519076694527434
student,6,2.463146938218011,0.6284791231155396,0.5746165602295487,0.5467090766738962,0.279074824794575,1.382165531317393,0.0,0.8868773149119483,0.5045558633627715,0.942208159852911,0.029115814957077855,0.0036738652701455133,0.4478348835750862,0.0,0.1,0.26255199571288423,0.160170193347666,0.06898216447896427,0.09081087875421401,0.003771499886675479
student,7,2.4267563930264227,0.6057828664779663,0.56037445752709,0.5344103000782154,0.25964156695193163,1.3651489769970928,0.0,0.8809068986663112,0.5005485106397558,0.9416577341379943,0.03069811131529234,0.003915302390750084,0.37163864020948056,0.0,0.1,0.24561922592339452,0.1618621034754647,0.06704443851830783,0.09443405042919847,0.00383613819765203
student,8,2.411656785894323,0.5925797820091248,0.550703317478851,0.5264245299277482,0.2427878778565813,1.3676639662848578,0.0,0.8758081230852339,0.49488465046441116,0.9413255121972826,0.032933174115088254,0.004000716713360614,0.3160284901106799,0.0,0.1,0.2297785015093946,0.14691645500284653,0.06288629183890643,0.08365859581088578,0.0037156903137521885
student,9,2.375415144143281,0.5871824622154236,0.544900964807581,0.5214607726644587,0.2344019188442164,1.3322659885441814,0.0,0.8796423706743453,0.49191172420978546,0.9426591716430806,0.032908040236819674,0.004018219718192186,0.2795413925691887,0.04,0.2,0.21495939317213678,0.1729090896745523,0.0737236924469471,0.0987192390969506,0.004661571017263837
student,10,2.3396465712123447,0.586006760597229,0.53081972014021,0.5094580275041086,0.21361694191754968,1.3196206092834473,0.0,0.875109851360321,0.49292242582197543,0.9419363461158894,0.03331482700175709,0.003996964992472419,0.25469327469666797,0.04,0.2,0.20109601381069178,0.15141259561534282,0.06497911895038905,0.0860093171811766,0.004241597347168459
