phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,cons,mag,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd,kd,kd_logit,kd_reg,kd_rel
teacher,1,3.105950669006065,0.7758535146713257,0.8293413950337304,0.7671578636875859,0.6218353084943913,1.7525474605736908,0.0,0.9698372670897731,0.5032958167570608,0.9306974764223452,0.04304602145458813,0.007629815454560297,1.3805267567987796,,,,,,,
teacher,2,3.021258252638358,0.7395836710929871,0.8162703503061224,0.7562017440795898,0.6006860710956432,1.725733635602174,0.0,0.9125470496990062,0.5400945411788093,0.9509585897127787,0.015072854425482176,0.003719171879951049,1.358471064655869,,,,,,,
teacher,3,2.7830081118477716,0.6563540697097778,0.7000817601327542,0.6546667546585754,0.4541500949611266,1.5968617686518916,0.0,0.8938426104960618,0.5511539738487314,0.9663890710583439,0.04935730127962651,0.003346125789297124,1.2791567047437031,,,,,,,
teacher,4,2.5681090818511114,0.6282055974006653,0.6311997633289408,0.5956114999673985,0.3558826435495306,1.4525202932181183,0.0,0.9037704622303998,0.5454243068341855,0.9680732378253231,0.03793164218465487,0.0033686458202147923,1.1853638445889507,,,,,,,
teacher,5,2.5286087548291243,0.6148445010185242,0.6115087176914569,0.5779503490085955,0.33558368406913897,1.43950738730254,0.0,0.8984107319955472,0.5415200193723043,0.966842527742739,0.03112231005259134,0.0035399575070995423,1.105615456899007,,,,,,,
teacher,6,2.4634882785655834,0.6057508587837219,0.583652228668884,0.553383469581604,0.3026876114308834,1.4060503685915913,0.0,0.8898763226138221,0.5311267486325016,0.963483581940333,0.03335035147352351,0.0038091254299851478,1.0267776559900355,,,,,,,
teacher,7,2.442364710348624,0.6033389568328857,0.5802339563767115,0.5509308239927998,0.29303135364143934,1.3899834994916562,0.0,0.889524863825904,0.523997708051293,0.9606223470634885,0.031818076657752194,0.003818617655067808,0.956648611360126,,,,,,,
teacher,8,2.4095511259856046,0.5981466174125671,0.5579442183176676,0.5322672890292274,0.2567692726712536,1.3840890791681077,0.0,0.8819435812808849,0.5348634725367581,0.9626521909678424,0.031308709954222046,0.003777080090475027,0.900314728418986,,,,,,,
teacher,9,2.367385890748766,0.5944468975067139,0.5455704353473805,0.5208529231173021,0.247175141065209,1.3521458131295663,0.0,0.8858121633529663,0.521902882390552,0.9596123739525124,0.03255814869232752,0.003848021289471675,0.8560486811178701,,,,,,,
teacher,10,2.3654355075624256,0.595690131187439,0.545582992611108,0.5215664936436547,0.2401649901919343,1.3514811396598816,0.0,0.8827911416689554,0.5228171933580328,0.9582620605274483,0.0336157122488927,0.0038335342175775658,0.8251169511565456,,,,,,,
teacher,11,2.353277842203776,0.595134437084198,0.5459407832887437,0.5223742182608004,0.2356656490376702,1.3408456047375996,0.0,0.8783936621966185,0.5301338174828777,0.9600338372919295,0.03452828802444317,0.003880635830918672,0.8090176295351099,,,,,,,
