phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,cons,mag,pol,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd,kd,kd_logit,kd_reg,kd_rel
teacher,1,2.645716728987517,0.7706261873245239,0.6833706713385053,0.6225898414850235,0.6078083189549269,1.1128416745750993,0.0,0.0,0.0,0.36671567404711686,0.8713501868424592,0.06017810068334694,0.007353528437239153,1.3347774280442133,,,,,,,
teacher,2,2.4716472029685974,0.6925599575042725,0.6623676888368748,0.6040362119674683,0.5833147515853246,1.1045980343112238,0.0,0.0,0.0,0.2675338737942554,0.8199164514188413,0.02446162600622133,0.006146278008128758,1.1885426662586354,,,,,,,
teacher,3,2.1868048155749285,0.6535112857818604,0.537572185198466,0.4959193539840204,0.41652831876719437,0.9831644208342941,0.0,0.0,0.0,0.23754713932673135,0.7976580847192694,0.0346970168735694,0.005987491725978476,0.9349770501807884,,,,,,,
teacher,4,2.0728525033703558,0.6343163847923279,0.49691008362505174,0.46032309918491926,0.36586983032800535,0.9399850986621998,0.0,0.0,0.0,0.2187251321695469,0.7859441781485522,0.028377099549052893,0.005663978824116013,0.7239580342063198,,,,,,,
teacher,5,2.0219934759316622,0.6202305555343628,0.47653995895827256,0.4425752858320872,0.33964674837059444,0.9190987823186098,0.0,0.0,0.0,0.21599182541723605,0.7783279021581014,0.025657365305556193,0.00537563791429555,0.5682469391160541,,,,,,,
teacher,6,1.9563870120931555,0.6085473299026489,0.4411652526921696,0.412498749240681,0.2866650236149629,0.9052576533070317,0.0,0.0,0.0,0.20581252072696332,0.7693789888311315,0.024971804719556262,0.005280320342906096,0.43360326411547484,,,,,,,
teacher,7,1.9258029725816515,0.6003162264823914,0.43670372168223065,0.4082500918043984,0.2845363092643243,0.8922985803197931,0.0,0.0,0.0,0.19851936620694619,0.7614745696385702,0.02326367122845517,0.005164894758275262,0.3329753136193311,,,,,,,
teacher,8,1.881813312018359,0.600870668888092,0.41563802184881987,0.3899632419149081,0.25674780706564587,0.8788843739915777,0.0,0.0,0.0,0.1912009092392745,0.7582703508712627,0.023610320252676804,0.004995758015731418,0.26517998096015716,,,,,,,
teacher,9,1.8617740957825273,0.596085786819458,0.4094650290078587,0.3849128294322226,0.2455219936867555,0.8727524159131227,0.0,0.0,0.0,0.18656177404854032,0.7530589092660833,0.02354784375401559,0.004985037466718091,0.2198979217145178,,,,,,,
teacher,10,1.8488707939783733,0.6071968078613281,0.4048029752793135,0.3812923205119592,0.23510656664492907,0.8701988690429263,0.0,0.0,0.0,0.18333513786395392,0.7496841560911249,0.022730998436195984,0.004861985669574804,0.18952384811860543,,,,,,,
teacher,11,1.8232602344618902,0.6102270483970642,0.393179161819043,0.37149966080431585,0.21679502161633638,0.8611471288734012,0.0,0.0,0.0,0.1800197818213039,0.7464025252395206,0.023249638956730014,0.004797063966247218,0.1689539146092203,,,,,,,
teacher,12,1.810975189562197,0.6045213341712952,0.39125532187797407,0.3707336529537483,0.20521669924535133,0.8523787039297598,0.0,0.0,0.0,0.18029972634933614,0.7434557466595261,0.022742614822669163,0.004785323644884759,0.1549605625095191,,,,,,,
teacher,13,1.8101133593806513,0.602803647518158,0.3956506630336797,0.3743269509739346,0.21323713591253315,0.8497710216928411,0.0,0.0,0.0,0.17862831000928525,0.7418231986187123,0.022651392052433005,0.004728014184231007,0.1462042588326666,,,,,,,
teacher,14,1.786543111006419,0.6033633947372437,0.3780092421781134,0.35962312130464447,0.18386118461515893,0.8424477731740033,0.0,0.0,0.0,0.18075617182034034,0.740420479465414,0.0226962027243442,0.00472319164071922,0.14099759111801782,,,,,,,
student,1,2.656735963291592,0.7793010473251343,0.6905286499747524,0.6293727584459163,0.6115588843822479,1.1136540505621169,0.0,0.0,0.0,0.3738822048460996,0.8761985798676809,0.04664777619419275,0.006817241880559811,1.3839241244174816,0.0,0.1,0.0,,,,
student,2,2.5026223571212203,0.7791474461555481,0.6844418203389203,0.6239742156532075,0.6046760744518704,1.1093935017232541,0.0,0.0,0.0,0.27142769788150434,0.8222997839804049,0.019465677302192758,0.00554257502813858,1.370528053354334,0.0,0.1,0.0,,,,
student,3,2.4040774945859558,0.693294107913971,0.6545095901798319,0.5975130310765019,0.5699655791675603,1.0966668018588313,0.0,0.0,0.0,0.22945882628361383,0.7962105804019504,0.01931249405498858,0.005115877767955816,1.3122754626803927,0.0,0.1,0.0,,,,
student,4,2.2105255546393217,0.6368327140808105,0.5046989866704853,0.4671423913290103,0.37556594279077316,0.9576092825995551,0.0,0.0,0.0,0.21330357204984735,0.7834895076575102,0.04115730641340768,0.0048314931767958185,1.2184553565802398,0.0,0.1,0.3,0.3599666365318828,0.15285209483570522,0.20662156326903236,0.0049298023977489384
student,5,2.060188792369984,0.612103283405304,0.4612990082414062,0.4299611338862666,0.313378735134999,0.9277789073961752,0.0,0.0,0.0,0.20431279363455596,0.7751796355953923,0.028562411148515012,0.004721346078440547,1.1476019488440619,0.0,0.1,0.28065209550948533,0.18204163346025679,0.07261334359645844,0.10917612289388974,0.002521663289775865
student,6,1.9961789912647672,0.6037507653236389,0.4386812917612217,0.4103340655565262,0.2834722594254547,0.907610477120788,0.0,0.0,0.0,0.1968523305323389,0.7712345266783679,0.02472761414807152,0.0045640519690803355,1.072038425339593,0.0,0.1,0.26255199571288423,0.16016414858124875,0.06406435004814907,0.09589191470985059,0.0020788403877910846
student,7,1.9348081835994013,0.6016626954078674,0.41341145778143845,0.3884778486357795,0.2493360941125839,0.8896231927253582,0.0,0.0,0.0,0.19140372204559822,0.7654770082897611,0.023185074622570363,0.004432387546532684,1.0024424272554893,0.0,0.1,0.24561922592339452,0.13760384363639686,0.05493409650538255,0.08248317543055034,0.0018657105179887298
student,8,1.9147780802514818,0.5966503620147705,0.4095131396143525,0.38515681083555575,0.24356329892934472,0.8886072768105401,0.0,0.0,0.0,0.18565381511493964,0.7609254938584787,0.022555815987288952,0.004348162475421473,0.9278230457394211,0.0,0.1,0.2297785015093946,0.12103345321008453,0.04808023678897708,0.07278437191551482,0.0016884402834370525
