phase,epoch,loss,valid_mae,reg,cls,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd,kd,kd_logit,kd_reg,kd_rel
teacher,1,2.987128416697184,1.4698916673660278,1.4620094299316406,0.9611985286076864,0.0,0.9279294808705648,0.08428417891263962,0.005688450454423825,5.496937910715739,,,,,,,
teacher,2,2.4674293200174966,1.4613943099975586,1.1104410886764526,0.8201390306154887,0.0,0.9091083208719889,0.04927899191776911,0.005389861762523651,5.496054649353027,,,,,,,
teacher,3,2.373988151550293,1.4615094661712646,1.1012033621470134,0.7543649474779764,0.0,0.8934647440910339,0.028709283098578453,0.004807158838957548,5.492911656697591,,,,,,,
teacher,4,2.350281318028768,1.4587029218673706,1.114120602607727,0.7294699549674988,0.0,0.8812717199325562,0.018278274685144424,0.00415800279006362,5.483684539794922,,,,,,,
teacher,5,2.296243747075399,1.4589608907699585,1.0866353114446003,0.7097595532735189,0.0,0.8728288213411967,0.013594063619772593,0.0038372151708851257,5.471883614857991,,,,,,,
teacher,6,2.2728593349456787,1.4579317569732666,1.0736501614252727,0.7038568655649821,0.0,0.86638871828715,0.011448244253794352,0.0036783479154109955,5.459464232126872,,,,,,,
teacher,7,2.2627338568369546,1.4557673931121826,1.0706363121668498,0.69963006178538,0.0,0.8618589043617249,0.010487316797176996,0.0036069960333406925,5.449075857798259,,,,,,,
teacher,8,2.258279323577881,1.4535398483276367,1.0698440273602803,0.6977712909380595,0.0,0.8588569164276123,0.010110526656111082,0.003522847934315602,5.441876570383708,,,,,,,
teacher,9,2.2555960019429526,1.4523060321807861,1.0687781969706218,0.6970702012379965,0.0,0.8572320342063904,0.010006115461389223,0.003501482385521134,5.43777863184611,,,,,,,
teacher,10,2.2534199555714927,1.4519803524017334,1.0677450895309448,0.6962577700614929,0.0,0.8566281795501709,0.009979150258004665,0.0035060022491961718,5.436030387878418,,,,,,,
student,1,3.457465410232544,1.4635003805160522,1.4219289223353069,1.0318742990493774,0.44333958625793457,0.9305562575658163,0.073214091360569,0.006191179466744264,5.534189701080322,0.0,0.2,0.0,,,,
student,2,2.8628764947255454,1.4615788459777832,1.1024344364802043,0.8517044385274252,0.3714492122332255,0.907281239827474,0.05151239534219106,0.005114234207818906,5.53343931833903,0.0,0.2,0.0,,,,
student,3,2.7053755124409995,1.4576609134674072,1.0989152193069458,0.7600179314613342,0.3250274956226349,0.8909431298573812,0.036726524432500206,0.004592332988977432,5.528399308522542,0.0,0.2,0.0,,,,
student,4,2.650227705637614,1.4587042331695557,1.1093038320541382,0.7188269893328348,0.2930588920911153,0.8799658417701721,0.0266528216501077,0.0042632656792799635,5.521988073984782,0.0,0.2,0.3,0.06125733132163683,0.05974531173706055,0.0015120210882741958,1.6186562608785e-08
student,5,2.5614965756734214,1.454632043838501,1.0818280776341755,0.7033698757489523,0.2683505217234294,0.8722941478093466,0.020696457475423813,0.004029210191220045,5.515108108520508,0.0,0.2,0.28065209550948533,0.015275377159317335,0.009574746092160543,0.005700628428409497,1.8299866214969523e-08
student,6,2.514842987060547,1.4507100582122803,1.0677404403686523,0.6949551304181417,0.2525217682123184,0.8664690653483073,0.017491939167181652,0.003911895910277963,5.50784158706665,0.0,0.2,0.26255199571288423,0.0023265227694840482,0.0006719212979078293,0.0016545988231276472,2.5692300435290843e-08
student,7,2.49509326616923,1.4470136165618896,1.068371852238973,0.6902160048484802,0.2381543070077896,0.8624330163002014,0.015616420346001783,0.0038410467095673084,5.5008769035339355,0.0,0.2,0.24561922592339452,0.009759231780966124,0.00644979253411293,0.003309433270866672,5.728200136445594e-08
student,8,2.4838799635569253,1.4438838958740234,1.0667675932248433,0.6862310171127319,0.23352953294912973,0.8598320285479227,0.014555079862475395,0.0037912627837310233,5.49492613474528,0.0,0.2,0.2297785015093946,0.014419277509053549,0.014166574614743391,0.0002526882041517335,1.4665126949845822e-07
student,9,2.4651925563812256,1.4404916763305664,1.062647541364034,0.6830819249153137,0.2226609339316686,0.8575717012087504,0.014014227005342642,0.0037288926541805267,5.490203221638997,0.0,0.2,0.21495939317213678,0.019737331196665764,0.019022073596715927,0.0007152324542403221,2.545211117421786e-07
student,10,2.4549663066864014,1.437882423400879,1.0584399302800496,0.6815272768338522,0.21841250360012054,0.8565590977668762,0.013821080327033997,0.003680001866693298,5.486981391906738,0.0,0.2,0.20109601381069178,0.02330573337773482,0.021434181059400242,0.0018715122326587637,4.018835682018107e-07
student,11,2.470357894897461,1.436171293258667,1.0576092004776,0.6808540026346842,0.2360339512427648,0.8559302488962809,0.013459171168506145,0.003618724954624971,5.4842789967854815,0.1,0.4,0.18812672558191681,0.023993531862894695,0.022153443346420925,0.00184004963375628,3.879706772143739e-07
student,12,2.467348337173462,1.4356815814971924,1.0558130741119385,0.6797956029574076,0.23629077772299448,0.8558046023050944,0.013478322265048822,0.0036012152365098395,5.48336140314738,0.1,0.4,0.17599386585300955,0.02371195952097575,0.022255399574836094,0.0014565113621453445,4.908094695110776e-07
