phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd,kd,kd_logit,kd_reg,kd_rel
teacher,1,1.8460544568521005,0.7834670543670654,0.7009589396141194,0.6383568694194158,0.6260207019470356,1.1125291519694858,0.4925638933976491,0.9202893265971431,0.03257885456292166,0.005380300205649325,1.3586793497756675,,,,,,,
teacher,2,1.8252855627625078,0.7780120968818665,0.6977307697137197,0.6360337027796993,0.6169706494719894,1.109545840157403,0.5100418699008448,0.9306503865453932,0.007390635001852557,0.0023930796758375233,1.31171065348166,,,,,,,
teacher,3,1.7721574196109064,0.7219496369361877,0.656220214786353,0.5993327404613848,0.5688747322117841,1.0921248296896617,0.5065974460707771,0.9339804373405598,0.020762145234685805,0.002699847328821542,1.2081369007075276,,,,,,,
teacher,4,1.5093378402568676,0.6203769445419312,0.5213287307156457,0.4820062843737779,0.3932244449302002,0.9575132065349155,0.48603084683418274,0.9316784849873295,0.03587979305949476,0.003771804600816082,1.0670090207347163,,,,,,,
teacher,5,1.4234648722189445,0.6090031862258911,0.4757572489756125,0.4420310065702156,0.33726242239828463,0.9238789423748299,0.4805310716231664,0.9287803658732662,0.02444238212235548,0.0038362554127902345,0.9689365305282451,,,,,,,
teacher,6,1.3629478216171265,0.6074727773666382,0.4419829116927253,0.4124574412902196,0.29525471727053326,0.8989880173294632,0.4747508262042646,0.9288331678620091,0.022502541266105795,0.003625641167336316,0.8912816268426401,,,,,,,
teacher,7,1.342670809339594,0.5981266498565674,0.42909276651011574,0.40196049986062227,0.27132266263167065,0.8935212515018605,0.4713812486992942,0.9320582129337169,0.020132837040970724,0.003496548717117144,0.824210395415624,,,,,,,
teacher,8,1.3239962767671656,0.5871148705482483,0.41706994617426835,0.39171378314495087,0.2535615919364823,0.8879647652308146,0.48218457566367257,0.9303788079155816,0.019263559417730128,0.003462492083026855,0.7598535363320951,,,,,,,
teacher,9,1.2827260273474235,0.5841788649559021,0.3975313683902776,0.37518752945794,0.22343837031749664,0.8669428317635147,0.48292982081572217,0.9298206347006338,0.01904753831870578,0.0034071034320664628,0.7024515745816408,,,,,,,
teacher,10,1.2792024215062459,0.5814403295516968,0.40058646737425413,0.3786166244082981,0.21969843469560146,0.8609107467863295,0.4836912640818843,0.9303307632605234,0.01895065521131511,0.003383296304727318,0.6538234860808761,,,,,,,
