variant,params,valid_acc,valid_mf1,valid_f1neg,valid_f1neu,valid_f1pos,test_acc,test_mf1,test_f1neg,test_f1neu,test_f1pos,d_valid_mf1,d_test_mf1,n_forced_neu
R8 类别偏置 γ（中性×γ）,[0.9],0.6318681318681318,0.6212892573826648,0.6682926829268293,0.5036319612590799,0.6919431279620853,0.6478679504814305,0.6199222690745242,0.7028301886792453,0.42696629213483145,0.7299703264094956,0.005444032833548995,-0.013854723133609692,-30
R6 p_neu>=t1 且 H_head>=t2,"[0.4179, 0.9647]",0.6236263736263736,0.6184360444622756,0.6599496221662469,0.5155555555555555,0.6798029556650246,0.6519944979367263,0.633697597937651,0.7146282973621103,0.46475195822454307,0.7217125382262997,0.002590819913159792,-7.939427048286873e-05,7
R7 |mu|<=t1 且 H_head>=t2,"[0.2617, 1.0697]",0.6236263736263736,0.618021700443904,0.6565656565656566,0.5144124168514412,0.6830870279146142,0.6492434662998624,0.6326590405442197,0.7139364303178484,0.4642857142857143,0.7197549770290965,0.002176475894788199,-0.0011179516639141518,8
R2 |mu|<=t,[0.0213],0.6222527472527473,0.61601699087747,0.6616541353383458,0.5045045045045045,0.6818923327895595,0.6533700137551581,0.6345756418935602,0.7132530120481928,0.46596858638743455,0.7245053272450532,0.0001717663283541393,0.0007986496854263114,1
R1 p_neu>=t,[0.4542],0.6222527472527473,0.6158452245491158,0.66,0.5056433408577878,0.6818923327895595,0.6519944979367263,0.6331949036507303,0.709832134292566,0.4671916010498688,0.7225609756097561,0.0,-0.0005820885574036039,0
R9 强制离开中性 |mu|>=t,[0.5685],0.6222527472527473,0.6158452245491158,0.66,0.5056433408577878,0.6818923327895595,0.6533700137551581,0.6337769922081339,0.711217183770883,0.4656084656084656,0.7245053272450532,0.0,0.0,0
R4 H_head>=t,[1.0697],0.6208791208791209,0.6158182925369283,0.6565656565656566,0.5121412803532008,0.6787479406919276,0.6478679504814305,0.6322035433137335,0.7139364303178484,0.46464646464646464,0.7180277349768875,-2.6932012187508292e-05,-0.0015734488944003644,10
R5 p0_ord>=t,[0.9534],0.6208791208791209,0.6151383273297557,0.66,0.5067264573991032,0.6786885245901639,0.6547455295735901,0.6361429236182025,0.711217183770883,0.47244094488188976,0.7247706422018348,-0.0007068972193601253,0.002365931410068578,3
R3 E|y|<=t,[0.6499],0.6208791208791209,0.6151383273297557,0.66,0.5067264573991032,0.6786885245901639,0.6547455295735901,0.6361429236182025,0.711217183770883,0.47244094488188976,0.7247706422018348,-0.0007068972193601253,0.002365931410068578,3
