phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd
teacher,1,2.5078194317994296,0.7758533954620361,0.6879210163045812,0.6269412653313743,0.6097974744107988,1.097400829747871,0.23713947694610665,0.8300668685524552,0.033875006509737834,0.00338696575447641,5.169367507652,,,
teacher,2,2.1021481388145022,0.669667661190033,0.5699903709055097,0.523895439726335,0.4609493045653734,0.954455094480956,0.1398171593469602,0.7755718915550797,0.03195700597845846,0.00287314158157204,3.2684526487633034,,,
teacher,3,1.867829426571175,0.6176608800888062,0.48661076581036605,0.45193080604076385,0.34679959231504687,0.8443254133065542,0.11883180160765294,0.7643487199589059,0.027485820533776725,0.00284321625130596,2.072255039656604,,,
student,1,2.5216054761851274,0.7765975594520569,0.6861747833037818,0.624771587136719,0.6140319624984706,1.102807590255031,0.2619146613611115,0.8033939268853929,0.027153780545901368,0.004131203357785664,5.336900446150038,0.0,0.1,0.0
