phase,epoch,loss,valid_mae,reg,cls,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd
teacher,16,1.6772093375523884,0.8218965530395508,0.6659254233042399,0.51918892065684,0.0,0.834466020266215,0.04086914286017418,0.004096288699656725,5.237931092580159,,,
teacher,17,1.5990774234135945,0.7591321468353271,0.6055242816607157,0.500055064757665,0.0,0.8344180186589559,0.04380693410833677,0.004174734465777874,5.229826132456462,,,
teacher,18,1.5477532943089802,0.7211052179336548,0.5651261806488037,0.4882230957349141,0.0,0.8345909317334493,0.045551771918932595,0.004167281556874514,5.224900086720784,,,
teacher,19,1.5169877608617146,0.7037454843521118,0.5420778393745422,0.4800950785477956,0.0,0.8345042864481608,0.046472939352194466,0.004207425285130739,5.222257137298584,,,
teacher,20,1.5040229558944702,0.6993379592895508,0.5316906968752543,0.47724716862042743,0.0,0.8345329562822977,0.0469920647641023,0.0042235700724025564,5.221078872680664,,,
student,1,3.6851211388905845,1.4647244215011597,1.6604211330413818,1.0792149504025776,0.3950524727503459,0.9138711293538412,0.07023929804563522,0.0061501200931767626,5.530239899953206,0.0,0.2,0.0
student,2,2.884795347849528,1.4713010787963867,1.1340843836466472,0.8826579650243124,0.33505242069562274,0.8961213429768881,0.053976524621248245,0.005339378335823615,5.528203805287679,0.0,0.2,0.0
student,3,2.694596449534098,1.4680912494659424,1.1026019652684529,0.77678382396698,0.29586806893348694,0.882646640141805,0.040696315467357635,0.004916547952840726,5.5213033358256025,0.0,0.2,0.0
student,4,2.6245926221211753,1.4610295295715332,1.1223064263661702,0.724839985370636,0.26893089214960736,0.8726269801457723,0.02971736155450344,0.004474797286093235,5.510584672292073,0.0,0.2,0.0
student,5,2.5398853619893393,1.4597630500793457,1.0914170344670613,0.7054528196652731,0.24237588047981262,0.8648417194684347,0.02236871359248956,0.004131026100367308,5.496878623962402,0.0,0.2,0.0
student,6,2.48314634958903,1.458170771598816,1.0714279810587566,0.6944127678871155,0.22228101889292398,0.8585044145584106,0.018011984104911487,0.003940339821080367,5.479618867238362,0.0,0.2,0.0
student,7,2.483376979827881,1.4563415050506592,1.0875709056854248,0.691920816898346,0.21287922064463297,0.8535690108935038,0.0154104707762599,0.0038490426571418843,5.459179878234863,0.0,0.2,0.0
student,8,2.459533929824829,1.4523438215255737,1.086397369702657,0.6871155897776285,0.1980845183134079,0.8495778838793436,0.01378687440107266,0.003741553674141566,5.4383470217386884,0.0,0.2,0.0
student,9,2.423426628112793,1.4484349489212036,1.070967713991801,0.6826024055480957,0.18440791964530945,0.8461679617563883,0.012698932240406672,0.003701120615005493,5.416439374287923,0.0,0.2,0.0
student,10,2.408752202987671,1.43839430809021,1.063500205675761,0.6798967719078064,0.1819035162528356,0.8434203664461771,0.011989420590301355,0.003659312535698215,5.39172903696696,0.0,0.2,0.0
student,11,2.4043601353963218,1.41902494430542,1.057009180386861,0.6734112501144409,0.19235810140768686,0.8408599893252054,0.011516927431027094,0.0035380703241874776,5.362392743428548,0.1,0.4,0.0
student,12,2.380187431971232,1.3932005167007446,1.0468353827794392,0.6645668347676595,0.188619926571846,0.8386482993761698,0.011495471931993961,0.003558757482096553,5.331409454345703,0.1,0.4,0.0
student,13,2.342841068903605,1.3527657985687256,1.0291402737299602,0.6523732344309489,0.18220860262711844,0.8368280927340189,0.01193838007748127,0.00351810563976566,5.29766050974528,0.1,0.4,0.0
student,14,2.2895802656809487,1.2948970794677734,0.9990178346633911,0.6325706839561462,0.1793388028939565,0.8354781071345011,0.01304324995726347,0.0035188401428361735,5.263278166453044,0.1,0.4,0.0
student,15,2.2245026429494223,1.209571361541748,0.9596433639526367,0.6090050538380941,0.17738466461499533,0.8342164953549703,0.014599393432339033,0.0035227295011281967,5.230023384094238,0.1,0.4,0.0
student,16,2.125410238901774,1.096780776977539,0.8974324067433676,0.5753349661827087,0.17376083632310232,0.833409051100413,0.016816736198961735,0.0035986168465266624,5.196985403696696,0.1,0.4,0.0
student,17,2.0112106800079346,0.9681615233421326,0.8210969964663187,0.5402043660481771,0.1701710025469462,0.8331494530042013,0.01942897712190946,0.003578763377542297,5.1659730275472,0.1,0.4,0.0
student,18,1.8868469794591267,0.8313659429550171,0.7334016958872477,0.49928977092107135,0.17324658731619516,0.833146313826243,0.022250002870957058,0.003613322818030914,5.14040740331014,0.1,0.4,0.0
student,19,1.782389521598816,0.7017589807510376,0.657217264175415,0.4717078407605489,0.17209133009115854,0.8322632710138956,0.024521696691711743,0.003594874171540141,5.1183121999104815,0.1,0.4,0.0
student,20,1.6678961912790935,0.5935708284378052,0.5746331214904785,0.4391649067401886,0.17113680640856424,0.8327500025431315,0.027549317727486294,0.003588823601603508,5.10173225402832,0.1,0.4,0.0
student,21,1.5843288501103718,0.5129156708717346,0.512954463561376,0.4154695471127828,0.17240690191586813,0.8323896725972494,0.029215745627880096,0.0036306410717467466,5.087989807128906,0.1,0.4,0.0
student,22,1.5349023739496868,0.45888930559158325,0.47576133410135907,0.4036879042784373,0.17133604983488718,0.8326868613560995,0.030301737288633983,0.0036579749236504235,5.0793776512146,0.1,0.4,0.0
student,23,1.492517073949178,0.42773476243019104,0.44189154108365375,0.392590473095576,0.17320112884044647,0.8330065806706747,0.03155398058394591,0.0036180232806752124,5.074463685353597,0.1,0.4,0.0
student,24,1.4743507305781047,0.4138931930065155,0.42999430497487384,0.3877070943514506,0.17164396246274313,0.8330501317977905,0.03191093169152737,0.0036373895903428397,5.070623715718587,0.1,0.4,0.0
student,25,1.4641364812850952,0.41052666306495667,0.4218457341194153,0.38459442059199017,0.1728047082821528,0.8327606717745463,0.031995353599389396,0.003648606672262152,5.068930308024089,0.1,0.4,0.0
