phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,cons,mag,pol,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd,kd,kd_logit,kd_reg,kd_rel
teacher,1,3.3149937838315964,0.8509166240692139,0.9890546128153801,0.9124769493937492,0.7657766863703728,1.7229830846190453,0.0,1.091029740869999,0.0,0.5344303399324417,0.947911623865366,0.07924322341568768,0.008245527395047247,1.369684599339962,,,,,,,
teacher,2,3.2397833168506622,0.8170866966247559,0.9807688556611538,0.9058485105633736,0.7492034174501896,1.7214938551187515,0.0,1.0129833742976189,0.0,0.536561094224453,0.9455939494073391,0.027464292594231665,0.0073526769992895424,1.3620383441448212,,,,,,,
teacher,3,3.2096342742443085,0.7980909943580627,0.9784230478107929,0.9045479334890842,0.7387511283159256,1.7174163609743118,0.0,0.9770706966519356,0.0,0.5351797640323639,0.9487134329974651,0.017096225637942553,0.006334624020382762,1.3544070348143578,,,,,,,
teacher,4,3.201362356543541,0.8199124336242676,0.9782842956483364,0.9039385206997395,0.7434578090906143,1.7177076563239098,0.0,0.9635555446147919,0.0,0.5454125180840492,0.951839130371809,0.014526159910019487,0.005723682144889608,1.3467718809843063,,,,,,,
teacher,5,3.1959319412708282,0.8098136186599731,0.9767087176442146,0.9025358445942402,0.7417286895215511,1.7165542095899582,0.0,0.9594318494200706,0.0,0.5507141426205635,0.9509542882442474,0.013601971906609833,0.005466531933052465,1.341883659362793,,,,,,,
teacher,6,3.1928407549858093,0.8138739466667175,0.9754991307854652,0.9015140943229198,0.739850390702486,1.7155796140432358,0.0,0.95786027982831,0.0,0.544755581766367,0.9519484303891659,0.01349096605554223,0.005372310464736074,1.3400230258703232,,,,,,,
student,1,3.2792636305093765,0.8370051980018616,0.9809053838253021,0.9059562869369984,0.7494909279048443,1.7225176244974136,0.0,1.0038241036236286,0.0,0.5361444279551506,0.9585387408733368,0.11140317749232054,0.008936034748330712,1.3759012818336487,0.0,0.1,0.0,,,,
student,2,3.2173872739076614,0.8336359262466431,0.9791315868496895,0.9047374278306961,0.743941605091095,1.717375323176384,0.0,0.9647633917629719,0.0,0.532727237790823,0.9569395780563354,0.042227785335853696,0.0075730992830358446,1.3598255142569542,0.0,0.1,0.0,,,,
student,3,3.1973298341035843,0.8316407203674316,0.9754734523594379,0.90137093141675,0.7410252913832664,1.7156629636883736,0.0,0.9556482136249542,0.0,0.5390141494572163,0.9619383253157139,0.02322934940457344,0.006710254383506253,1.3399464786052704,0.0,0.1,0.0,,,,
student,4,3.1857326179742813,0.8297305107116699,0.9705997817218304,0.8969721831381321,0.7362759821116924,1.7123436257243156,0.0,0.9523683339357376,0.0,0.5457867085933685,0.9630606099963188,0.018115859827958047,0.0061712983006145805,1.318813070654869,0.0,0.1,0.3,0.0042443693564564455,0.0008313817670568824,0.003392770711798221,0.00020216928885474772
student,5,3.169825002551079,0.8257552981376648,0.9638938866555691,0.8904063887894154,0.734874926507473,1.7040951400995255,0.0,0.9507587403059006,0.0,0.543719694018364,0.9656576737761497,0.018702146247960627,0.005814250704133883,1.3016553223133087,0.0,0.1,0.28065209550948533,0.00421085576817859,0.0007915471214801073,0.0034004506560449954,0.00018857998702515033
student,6,3.139264941215515,0.823878288269043,0.9457377567887306,0.8742638193070889,0.7147393487393856,1.6889222636818886,0.0,0.9491992108523846,0.0,0.5451118536293507,0.9672633334994316,0.022954985150136054,0.0056237597309518605,1.2867928892374039,0.0,0.1,0.26255199571288423,0.010847738216398284,0.0013548026327043772,0.009465278300922364,0.0002765719673334388
student,7,3.1067499965429306,0.8205112814903259,0.9289124757051468,0.8585468716919422,0.7036560699343681,1.670167252421379,0.0,0.9471605941653252,0.0,0.5433759205043316,0.9684347733855247,0.02810194669291377,0.005666616692906246,1.2764453366398811,0.0,0.1,0.24561922592339452,0.018081584246829152,0.003226584754884243,0.014808109204750508,0.00046890508110664086
student,8,3.086507961153984,0.8168810606002808,0.9164536818861961,0.8473658375442028,0.6908784322440624,1.6591525003314018,0.0,0.9461328200995922,0.0,0.5452000424265862,0.9702453911304474,0.03135556378401816,0.005659912072587758,1.2710877805948257,0.0,0.1,0.2297785015093946,0.028796137776225805,0.004887314164079726,0.023843105300329626,0.0006571836674993392
