phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,cons,mag,pol,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd,kd,kd_logit,kd_reg,kd_rel
teacher,1,3.1109692211504334,0.776723325252533,0.83211984678551,0.7705322117717178,0.6158763424113944,1.739025029871199,0.0,1.0095536079671648,0.0,0.4988647296472832,0.9212307201491462,0.037088713212007726,0.006065931024581746,1.347020321422153,,,,,,,
teacher,2,3.0069885651270547,0.7327365279197693,0.8005056557831941,0.7420922457068054,0.5841341413281582,1.727327960508841,0.0,0.9080746880284062,0.0,0.4956699935374437,0.9278949565357633,0.02088738850283402,0.0038537274856396296,1.2747033105956183,,,,,,,
teacher,3,2.7282459007369146,0.650882363319397,0.6862465435708011,0.6441046038159618,0.42141942541908334,1.5459275146325429,0.0,0.9051309823989868,0.0,0.49964385120956983,0.9343111360514605,0.058994359233313136,0.003953242389899161,1.2032528630009405,,,,,,,
teacher,4,2.576874741801509,0.6163601875305176,0.6257537592340399,0.5906244091413639,0.35129348354207146,1.4710180671126754,0.0,0.896668052231824,0.0,0.4991905606455273,0.9307444029384189,0.036516953777107924,0.004191645675476779,1.1414595952740423,,,,,,,
teacher,5,2.4926557960333646,0.61155766248703,0.5980506864962755,0.5655989354407346,0.3245174916530097,1.413835824639709,0.0,0.9030291945845993,0.0,0.4891440824226097,0.9304366310437521,0.032180645779051165,0.0042381650699233565,1.1045286920335557,,,,,,,
teacher,6,2.4713580431761564,0.5979389548301697,0.5870867686139213,0.5561913665797975,0.30895401620202595,1.406072872656363,0.0,0.8985686059351321,0.0,0.48487785237806813,0.9374250615084613,0.032311290640521934,0.004328600941570821,1.0594151549869113,,,,,,,
teacher,7,2.440688058182045,0.5948880314826965,0.5822421041903673,0.5520443734195497,0.3019772997746865,1.3823682698938582,0.0,0.8939932065981405,0.0,0.48443950436733385,0.9347482467139209,0.03321225416881067,0.0043683847050286,1.029079000155131,,,,,,,
teacher,8,2.395395698370757,0.5999135375022888,0.5569813152154287,0.5307805880352303,0.2620072294440534,1.3652626364319413,0.0,0.8898988796605004,0.0,0.49283941366054396,0.9300534813492386,0.0320276094738532,0.004310171089687005,1.00334111739088,,,,,,,
teacher,9,2.3606806000073752,0.5976554751396179,0.5417027536917616,0.5179870652931707,0.237156859288613,1.348095968917564,0.0,0.8846632639567057,0.0,0.48315851224793327,0.9295851665514486,0.0332082991177837,0.004274473327246529,0.9808847882129528,,,,,,,
teacher,10,2.3668219071847423,0.5957730412483215,0.5477003146100927,0.5235617464339292,0.2413857073902532,1.3482715244646426,0.0,0.884813881582684,0.0,0.49206926701245485,0.9318143283879315,0.03326713590434304,0.00426706454406182,0.9676017308676684,,,,,,,
teacher,11,2.366771521391692,0.5945900678634644,0.5492658697896533,0.5241908535913185,0.25075015473972867,1.3459112732498735,0.0,0.8860298792521158,0.0,0.4828979444724542,0.9318213219995852,0.03367531782499066,0.004291437204099364,0.9596036043432024,,,,,,,
teacher,12,2.3381136037685253,0.5944498181343079,0.5290176835325029,0.5072522433819594,0.21765440881804185,1.3394994272126093,0.0,0.8826827009518942,0.0,0.48429706582316645,0.9319662970525248,0.03314887356289007,0.004263472747644065,0.9548985814606702,,,,,,,
student,1,3.0610552849592985,0.7768097519874573,0.8136979373240912,0.7534023099751385,0.602956258588367,1.7504027441695884,0.0,0.917053774551109,0.0,0.49728774969224576,0.9314677759453103,0.04287951079162734,0.006575878131789742,1.370003009283984,0.0,0.1,0.0,,,,
student,2,3.033737990591261,0.7767131328582764,0.8233514141153406,0.7621886818497269,0.6116273011322375,1.736236203599859,0.0,0.907708223219271,0.0,0.5133084544429073,0.9399640096558465,0.011575153959846055,0.0036054987382764616,1.2705926210791976,0.0,0.1,0.0,,,,
student,3,2.840056684282091,0.7633951902389526,0.7405154407024384,0.6909167253308826,0.4959871619939804,1.6138609426992911,0.0,0.9054355477845227,0.0,0.5167064114853188,0.9461881496288158,0.043291510082781315,0.003639272185628889,0.9497144056691064,0.0,0.1,0.0,,,,
student,4,2.6833731863233776,0.717454195022583,0.6325357407331467,0.5965005156618578,0.3603522354323003,1.4749837230753016,0.0,0.8949254751205444,0.0,0.5114960146171076,0.9457030517083628,0.03546098602452764,0.003533440228137705,0.6835230467496095,0.0,0.1,0.3,0.34019513290237496,0.1430491533268381,0.19639304859770668,0.007529326555043183
student,5,2.5331174576724016,0.666773796081543,0.5956643416925713,0.5644774541810706,0.3118688889123775,1.4094330337312486,0.0,0.8962225417296091,0.0,0.5100994154259011,0.9444805063583233,0.030281189932591386,0.003560345188749057,0.5487725916835997,0.0,0.1,0.28065209550948533,0.20488108846324463,0.08816255691150825,0.11622114976247151,0.004973806768517803
student,6,2.4650010532803006,0.6284323334693909,0.5748488456010818,0.546915183464686,0.27933660384129594,1.382436251198804,0.0,0.8870164056619009,0.0,0.5037864054794665,0.9419171390710054,0.029230938155066083,0.0037057031877338886,0.4481041696336534,0.0,0.1,0.26255199571288423,0.16476131334073013,0.06968335182992397,0.09466053600664492,0.004174258430591888
student,7,2.428130227106589,0.6057570576667786,0.560128336151441,0.5342039846711688,0.25924348468995756,1.3650662589956213,0.0,0.8810953464772966,0.0,0.4993167260178813,0.9414308026984886,0.03149110354759075,0.003957580512010113,0.3716075238254335,0.0,0.1,0.24561922592339452,0.16671139360577972,0.06805565891166528,0.09822820140807717,0.0042753302259370685
